0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer ( less than 300k V),Wet Power Frequency Voltage Withstand Test,IEC 61869-1
2,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (72.5 k V to 800k V),AC test on Drain Coil,IEC 61869-5
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (72.5 k V to 800k V),Voltage withstand test on Drain Coil,IEC 61869-1
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (72.5 k V to 800k V),Determination of thetemperature coecient(TC),IEC 60358-1
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (72.5 k V to 800k V),Determination of thetemperature coecient(TC),IEC 61869-5
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (72.5 k V to 800k V),Voltage withstand test on Drain Coil,IEC 61869-5
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (less than 300k V),Wet Power Frequency Voltage Withstand Test,IEC 60358
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (less than 300k V),Wet Power Frequency Voltage Withstand Test,IEC 61869-5
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (less than 300k V),Wet Power Frequency Voltage Withstand Test,IS 16227 (Part 5)
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (less than 300k V),Wet Power Frequency Voltage Withstand Test,IS 9348
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Short-circuit withstandcapability test,IEC 60358
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Short-circuit withstandcapability test,IEC 61869-1
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Short-circuit withstandcapability test,IEC 61869-5
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Short-circuit withstandcapability test,IS 16227 (Part 5)
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Short-circuit withstandcapability test,IS 9348
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Wet Switching Impulsetest,IEC 60358
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformer (Up to 420 k V),Wet Switching Impulsetest,IEC 61869-1
