0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter Class 1& 2 (1 Phase and 3 Phase),Limits of Error,Clause 6.12 of IS 16444 (Part 1)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter Class 1& 2 (1 Phase and 3 Phase),Meter constant,Clause 6.12 of IS 16444 (Part 1)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter Class 1& 2 (1 Phase and 3 Phase),No load Condition,Clause 6.12 of IS 16444 (Part 1)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter Class 1& 2 (1 Phase and 3 Phase),Starting Condition,Clause 6.12 of IS 16444 (Part 1)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Limits of Error,Clause 6.12 of IS 16444 (Part 2)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Limits of Error,Clause 11.1 of IS 14697
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Meter Constant,Clause 12.14 of IS 14697
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",No Load Condition,Clause 12.12 of IS 14697
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Starting Condition,Clause 12.13 of IS 14697
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Meter Constant,Clause 6.12 of IS 16444 (Part 2)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",No Load Condition,Clause 6.12 of IS 16444 (Part 2)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Starting Condition,Clause 6.12 of IS 16444 (Part 2)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt-hour (3 phase) Meters class 0.2s, 0.5s, 1.0",Reactive Energy Registration Verication during voltage high(V>103%) & voltage low (V,Clause 6.9 (C) (iv & v) of CBIPNo. 325
