0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components","Degrees of protection (IPcode) Protection ofelectrical equipmentagainst foreign objects,water and access Test:IPX9 K",ISO 20653
2,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Accelerated Weathering Test (UV Test) with rain,ISO 4892-2
3,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Change oftemperature(Temperature Cycling Test),IEC 61300-2-22
4,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Cold Test /Low Temperature Test,IEC 60068-2-1
5,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Cold Test /Low Temperature Test,IS 9000 (Part 2/Section 1to 4)
6,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Compositetemperature/humiditycyclic test,IEC 60068-2-38
7,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp Heat Cyclic Test,IEC 60068-2-30
8,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp Heat Cyclic Test,IS 9000 (Part-5) Sec 1-2
9,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp Heat Steady State,IEC 60068-2-78
10,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp Heat Steady State,IS 9000 (Part 4)
11,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp Heat Test,JSS 55555 (Rev 4)-Test Number-10
12,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical, Electro Technical Automotive,Aerospace, packaging, Medical, Railways,Electronics, Defence Apparatus Including Sub-Assemblies Accessories and components",Damp-heat test (Test Procedure 10.13),IEC 61215
