0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Change of Temperature(Chamber size:700x 800x 700mm),IS 9000 (Part-14) Sec I & II
2,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Change of Temperature Test(Temperature Cyclic Test)(Chamber size:700x 800x 700mm),"IEC 60068-2-14 (Test Na ,Test Nb)"
3,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Cold Test (Chamber size:650600800mm),IEC 60068-2-1
4,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Cold Test (Chamber size:650600800mm),IS 9000 (Part-02) Sec 1 to 4
5,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Composite Temperature Humidity Cyclic Test (Chambersize: 650600800mm),IS 9000 (Part-6)
6,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Damp Heat Cyclic Test(Chamber size:650600800mm),IEC 60068-2-30
7,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Damp Heat Cyclic Test(Chamber size:650600800mm),IS 9000 (Part-5 ) Sec 1 -2
8,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Damp Heat Steady State(Chamber size:650600800mm),IEC 60068-2-78
9,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Damp Heat Steady state(Chamber size:650600800mm),IS 9000 (Part-4)
10,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Dry Heat (Chamber size:800x 1250x 800mm),IEC 60068-2-2
11,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Dry Heat Test (Chamber size:800x 1250x 800mm),IS 9000 (Part-3) Sec 1 -5
12,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",High Temperature Test(Chamber size:800x 1250x 800mm),JSS 55555 (2000 Rev 3)
13,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",High Temperature Test(Chamber size:800x 1250x 800mm),ISO 16750 (Part-04) Sec 5.1.2
14,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",High Temperature Test(Chamber size:800x 1250x 800mm),"MIL STD -810 G (Part-2, 501.5)"
15,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Low Temperature Test(Chamber size:650600800mm),ISO 16750 (Part-04)
16,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Low Temperature Test(Chamber size:650600800mm),JSS 55555 (2000 Rev 3)-Test Number-20
17,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Low Temperature Test(Chamber size:650600800mm),MIL STD -810 G(Part-2 502.5)
18,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Rapid Change of Temperature(Chamber size:700x 800x 700mm),ISO 16750 (Part-04) Sec 5.3.2
19,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Temperature Cyclic with Specic rate of change(Chamber size:650600800mm),ISO 16750 (Part 04) sec 5.3.1
20,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Temperature Cycling Test(Thermal Shock) (Chambersize: 700x 800x 700mm),JSS 55555 (2000 Rev 03) Test Number 22
21,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Temperature Step Test(Chamber size:650600800mm),ISO 16750 (Part 04) sec 5.2
22,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"All types of Automobiles equipment, Electrical & Electronicitems",Thermal shock Test(Temperature Shock/Rapidchange of Temperature)(Chamber size:700x 800x 700mm),MIL STD -810 G(Part-2 503.5-1)
