0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Circuit Power Factor,"Cl. 9, IS 16104"
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Operational Test for Abnormal Operation,"Cl. 12, IS 16104"
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Starting & Connectingrequirements,"Cl. 7.1, IS 16104"
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Supply Current,"Cl. 10, IS 16104"
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Total Circuit Power,"Cl. 8, IS 16104"
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Voltage & Current duringoperation (Current),"Cl. 7.2, IS 16104"
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic control gear for LED modules,Voltage & Current duringoperation (Voltage),"Cl. 7.2, IS 16104"
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Electric Strength,"Cl. 10.2.2, IEC 60598-1"
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Electric Strength,"Cl. 15.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 10.2.2, IS 10322(Part 1)+A1:2018"
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Endurance,"Cl. 12.3, IEC 60598-1"
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Endurance,"Cl. 13.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 12.3, IS 10322(Part 1)+A1:2018"
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Humidity Test,"Cl. 14.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 9.3, IS 10322(Part 1)+A1:2018"
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Humidity Test,"Cl. 9.3, IEC 60598-1"
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Impact Resistance Test (IK),"Cl. 4.2, IEC62262:2002+AMD:2021; Cl. 5 IEC 60068-2-75"
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Insulation Resistance,"Cl. 10.2.1, IEC 60598-1"
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Insulation Resistance,"Cl. 15.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 10.2.1, IS 10322(Part 1)+A1:2018"
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Resistance to Fame & Ignition,"Cl. 13.3, IEC 60598-1"
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Resistance to Fame & Ignition,"Cl. 16.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 13.3, IS 10322(Part 1)+A1:2018"
19,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Resistance to heat,"Cl. 13.2, IEC 60598-1"
20,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Resistance to heat,"Cl. 16.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 13.2, IS 10322(Part 1)+A1:2018"
21,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,"Tests for ingress of dust, solidobjects and moisture","Cl. 13.2, 13.5, 13.6, 14.2.4,14.2.5, 14.2.6, 14.2.7, IEC60529"
22,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,"Tests for ingress of dust, solidobjects and moisture","Cl. 14.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 9.2.0, 9.2.1, 9.2.2,9.2.5, 9.2.6, 9.2.7, 9.2.8, IS10322 (Part 1)+A1:2018"
23,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,"Tests for ingress of dust, solidobjects and moisture","Cl. 9.2.0, 9.2.1, 9.2.2, 9.2.5,9.2.6, 9.2.7, 9.2.8, IEC 60598-1"
24,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Thermal Test,"Cl. 12.4, IEC 60598-1"
25,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose luminaires,Thermal Test,"Cl. 13.0, IS 10322 (Part 5 /Sec 1):2012; Cl. 12.4, IS 10322(Part 1)+A1:2018"
26,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Electric Strength,"Cl 15.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 10.2.2,IS 10322 (Part 1)+A1:2018"
27,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Electric Strength,"Cl. 10.2.2, IEC 60598-1"
28,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Endurance,"Cl 13.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 12.3, IS10322 (Part 1)+A1:2018"
29,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Endurance,"Cl. 12.3, IEC 60598-1"
30,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Humidity Test,"Cl 14.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 9.3, IS10322 (Part 1)+A1:2018"
31,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Humidity Test,"Cl. 9.3, IEC 60598-1"
32,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Impact Resistance Test (IK),"Cl. 4.2, IEC62262:2002+AMD:2021; Cl. 5 IEC 60068-2-75"
33,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Insulation Resistance,"Cl 15.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 10.2.1,IS 10322 (Part 1)+A1:2018"
34,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Insulation Resistance,"Cl. 10.2.1, IEC 60598-1"
35,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Resistance to Fame & Ignition,"Cl. 13.3, IEC 60598-1"
36,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Resistance to Fame & Ignition,"Cl. 16.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 13.3, IS10322 (Part 1)+A1:2018"
37,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Resistance to heat,"Cl. 13.2, IEC 60598-1"
38,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Resistance to heat,"Cl. 16.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 13.2, IS10322 (Part 1)+A1:2018"
39,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,"Tests for ingress of dust, solidobjects and moisture","Cl. 13.2, 13.5, 13.6, 14.2.4,14.2.5, 14.2.6, 14.2.7, IEC60529"
40,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,"Tests for ingress of dust, solidobjects and moisture","Cl. 14.0, IS 10322 (Part 5 /Sec 5):2013+A1:2015; Cl. 9.2.0,9.2.1, 9.2.2, 9.2.5, 9.2.6, 9.2.7,9.2.8, IS 10322(Part 1)+A1:2018"
41,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,"Tests for ingress of dust, solidobjects and moisture","Cl. 9.2.0, 9.2.1, 9.2.2, 9.2.5,9.2.6, 9.2.7, 9.2.8, IEC 60598-1"
42,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Thermal Test,"Cl 13.0, IS 10322 (Part 5 /Sec 5):2013+A1:2018; Cl. 12.4, IS10322 (Part 1)+A1:2018"
43,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Thermal Test,"Cl. 12.4, IEC 60598-1"
44,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires,LED Luminaire Life,"Cl. 10.2, IS 16107-2-1"
45,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Module for General Purpose Lighting,LED Luminaire Life,"IS 16103-2:2012+A1:2014,A2:2015, A3"
46,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Electric Strength,"Cl. 10.2.2, IEC 60598-1"
47,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Electric Strength,"Cl. 15.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 10.2.2,IS 10322 (Part 1)+A1:2018"
48,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Endurance,"Cl. 12.3, IEC 60598-1"
49,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Endurance,"Cl. 13.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 12.3, IS10322 (Part 1)+A1:2018"
50,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Humidity Test,"Cl. 14.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 9.3, IS10322 (Part 1)+A1:2018"
51,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Humidity Test,"Cl. 9.3, IEC 60598-1"
52,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Impact Resistance Test (IK),"Cl. 4.2, IEC62262:2002+AMD:2021; Cl. 5 IEC 60068-2-75"
53,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Insulation Resistance,"Cl. 10.2.1, IEC 60598-1"
54,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Insulation Resistance,"Cl. 15.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 10.2.1,IS 10322 (Part 1)+A1:2018"
55,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Resistance to Fame & Ignition,"Cl. 13.3, IEC 60598-1"
56,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Resistance to Fame & Ignition,"Cl. 16.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 13.3, IS10322 (Part 1)+A1:2018"
57,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Resistance to heat,"Cl. 13.2, IEC 60598-1"
58,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Resistance to heat,"Cl. 16.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 13.2, IS10322 (Part 1)+A1:2018"
59,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,"Tests for ingress of dust, solidobjects and moisture","Cl. 13.2, 13.5, 13.6, 14.2.4,14.2.5, 14.2.6, 14.2.7, IEC60529"
60,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,"Tests for ingress of dust, solidobjects and moisture","Cl. 14.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 9.2.0,9.2.1, 9.2.2, 9.2.5, 9.2.6, 9.2.7,9.2.8, IS 10322(Part 1)+A1:2018"
61,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,"Tests for ingress of dust, solidobjects and moisture","Cl. 9.2.0, 9.2.1, 9.2.2, 9.2.5,9.2.6, 9.2.7, 9.2.8, IEC 60598-1"
62,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Thermal Test,"Cl. 12.4, IEC 60598-1"
63,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaire for road and street lighting,Thermal Test,"Cl. 13.0, IS 10322 (Part 5 /Sec 3):2012+A1:2015; Cl. 12.4, IS10322 (Part 1)+A1:2018"
64,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Electric Strength,"Cl. 10.2.2, IEC 60598-1"
65,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Electric Strength,"Cl. 15.0, IS 10322 (Part 5 /Sec 2):2012+A1:2015; Cl. 10.2.2,IS 10322 (Part 1)+A1:2018"
66,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Endurance,"Cl. 12.3, IEC 60598-1"
67,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Endurance,"Cl. 13.0, IS 10322 (Part 5 /Sec 2):2012+A1:2015; Cl. 12.3, IS10322 (Part 1)+A1:2018"
68,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Humidity Test,"Cl. 14.0, IS 10322 (Part 5 /Sec 2):2012+A1:2015; Cl. 9.3, IS10322 (Part 1)+A1:2018"
69,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Humidity Test,"Cl. 9.3, IEC 60598-1"
70,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Impact Resistance Test (IK),"Cl. 4.2, IEC62262:2002+AMD:2021; Cl. 5 IEC 60068-2-75"
71,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Insulation Resistance,"Cl. 10.2.1, IEC 60598-1"
72,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Insulation Resistance,"Cl. 15.0, IS 10322 (Part 5 /Sec 2):2012+A1:2015; Cl. 10.2.1,IS 10322 (Part 1)+A1:2018"
73,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaires,Resistance to Fame & Ignition,"Cl. 13.3, IEC 60598-1"
