0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Bushing upto 52 k V Class,Dry Power frequencyvoltage tests,IEC 60137
2,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Bushing upto 52 k V Class,Lightning impulse voltagetest,IEC 60137
3,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Bushing upto 52 k V Class,Lightning impulse voltagetest,IEC 60660
4,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Bushing upto 52 k V Class,Partial Discharge Measurement Test,IEC 60137
5,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Insulator upto 52 k V Class,Dry Power frequencyvoltage tests,IEC 60168
6,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Insulator upto 52 k V Class,Dry Power frequencyvoltage tests,IEC 60660
7,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Insulator upto 52 k V Class,Lightning impulse voltagetest,IEC 60168
8,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Insulator upto 52 k V Class,Partial Discharge Measurement Test,IEC 60660
9,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,IEC 62271-202
10,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,EC 62271-106
11,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,IEC 62271-1
12,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,IEC 62271-100
13,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,IEC 62271-102
14,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dielectric tests onauxiliary and controlcircuit,IEC 62271-200
15,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 62271-200
16,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 61439-1
17,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 62271-1
18,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 62271-100
19,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 62271-102
20,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Switchgear & Controlgear upto 40.5 k V Class,Dry Power frequencyvoltage tests,IEC 62271-103
