0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],No Load Test (Power),IS 12615 [Cl No 16.1.3]
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],No Load Test (Voltage),IS 12615 [ Cl. No. 16.1.3]
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],No Load Test (Current),IS 12615 [ Cl. No. 16.1.3]
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Reduced Voltage Running Up Test,IS 12615 [ Cl. No. 16.1.5]
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Current),IS 12615 [ Cl. No. 13 &16.2.4]
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Speed),IS 12615 [ Cl. No. 13 & Cl.No. 16.2.4]
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Torque),IS 12615 [ Cl. No. 13 & Cl.No. 16.2.4]
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Power),IS 12615 [ Cl. No. 13 & Cl.No. 16.2.4]
9,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Voltage),IS 12615 [ Cl. No. 13 & Cl.No. 16.2.4]
10,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Terminal Marking,IS 12615 [Cl. No. 9]
11,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Momentary Overload Test,IS 12615 [Cl No 12.1 & Cl No 16.2.5]
12,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC Motors [Power Output 0.12k W to 200k W],Temperature Rise Test(Temp),IS 12615 [ Cl. No. 13 &16.2.4]
13,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC motors [Power Output 0.12k W to 200k W],Earthing Provision,IS 12615 [Cl No 8]
14,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC motors [Power Output 0.12k W to 200k W],High Voltage Test,IS 12615 [Cl No 16.1.6]
15,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC motors [Power Output 0.12k W to 200k W],Insulation Resistance Test,IS 12615 [Cl No 16.1.1]
16,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line Operated Three Phase AC motors [Power Output 0.12k W to 200k W],Load Test (Current),IS 12615 [Cl No 16.2.3]
