0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-PETROLEUM ANDPRODUCTS,Filling Jelly,Drop Point,ASTM 566
2,CHEMICAL-PETROLEUM ANDPRODUCTS,Filling Jelly,Flash Point,ASTM D92
3,CHEMICAL-PETROLEUM ANDPRODUCTS,Filling Jelly,Oil Separation,FTM 791-321
4,CHEMICAL-PETROLEUM ANDPRODUCTS,Filling Jelly,Volatility Loss,FTM 791-321
5,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Attenuation Test,"IEC 60793-1-40,EIA/TIA-455-78 C"
6,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,CD Coecient @1288 -1339 nm Band,"ITU - T G.65x, G.650.1,IEC 60793-2-50, IEC60793-1-42"
7,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Clad Diameter,IEC 60793-1-20 Method B
8,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Cut o Wavelength,IEC 60793-1-44
9,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Fiber Coating Measurement,"IEC 60793-1-21, IEC60793-2-50"
10,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Fiber Curl Measurement,"IEC 60793-2-50, IEC60793-1-34"
11,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Mode Field Diameter of SM Fibers at 1310 nm &1550 nm,IEC 60793-1-45 Method B
12,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Slope at Zero Dispersion,IEC 60793-1-42 Method B
13,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Spectral Attenuation,IEC 60793-1-40
14,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber,Zero Dispersion Wavelength,IEC 60793-1-42 Method B
15,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber Cable,Abrasion Test,"IEEE 1222, IEEE 1138, IEC60794-1-21, GR 20, XPC93-850-3-25"
16,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber Cable,Aeolin Vibration Test,"IEC 60794-1-21 Method E19, IEEE 1222, IEEE1138"
17,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber Cable,"Attenuation Test @1310,1383, 1490, 1550 & 1625nm",IEC 60793-1-40
18,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Fiber Cable,Cable Ageing Test,"IEEE 1222, IEEE 1138, IEC60794-1-22 Edition 2.0,GR 20, XP C93-850-3-25"
