0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,"Electrical and electronic apparatus intended foruse in residential, commercial and light-industrialenvironments.",Radio Interference/Disturbance Measurement (A)Continuous Disturbances,IEC 61000-6-3
2,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,A.C Voltage Dips & Short Interruption Test,IEC 61000-4-11
3,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Electrical Fast Transient/Burst Immunity Test,IEC 61000-4-4
4,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Electrostatic Discharge Immunity Test,IEC 61000-4-2
5,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,"Immunity to Conducted Disturbances, Induced by Radio-Frequency Fields",IEC 61000-4-6
6,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Power Frequency Magnetic Field Immunity Test (Continuous),IEC 61000-4-8
7,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Radio Interference/Disturbance Measurement (A)Continuous Disturbances,CISPR 16-1-1
8,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Radio Interference/Disturbance Measurement (A)Continuous Disturbance,CISPR 16-2-1
9,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Radio Interference/Disturbance Measurement (A)Continuous Disturbances,CISPR 16-1-2
10,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment,Surge Immunity Test,IEC 61000-4-5
11,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations,A.C Voltage Dips &Interruption Test,IEC 61000-6-2
12,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations,Electrical Fast Transient/Burst Immunity Test,IEC 61000-6-2
13,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations.,Electrostatic Discharge Immunity Test,IEC 61000-6-2
14,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations.,"Immunity to Conducted Disturbances, Induced by Radio-frequency Fields",IEC 61000-6-2
15,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations.,Power Frequency Magnetic Field Immunity Test (Continuous),IEC 61000-6-2
16,ELECTRONICS- EMCTEST FACILITY,Electrical and electronic equipment intended foruse in industrial locations.,Surge Immunity Test,IEC 61000-6-2
17,ELECTRONICS- EMCTEST FACILITY,"Electrical and electronic equipment intended foruse in residential, commercial, public and light-industrial locations","Immunity to Conducted Disturbances,Induced by Radio-Frequency Fields",IEC 61000-6-1
18,ELECTRONICS- EMCTEST FACILITY,"Electrical and electronic equipment intended foruse in residential, commercial, public and light-industrial locations.",A.C Voltage Dips &Interruption Test,IEC 61000-6-1
19,ELECTRONICS- EMCTEST FACILITY,"Electrical and electronic equipment intended foruse in residential, commercial, public and light-industrial locations.",Electrical Fast Transient/Burst Immunity Test,IEC 61000-6-1
20,ELECTRONICS- EMCTEST FACILITY,"Electrical and electronic equipment intended foruse in residential, commercial, public and light-industrial locations.",Electrostatic Discharge Immunity Test,IEC 61000-6-1
