0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
2,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Insulators Metal Parts,Determination of Mass of Zinc Coating,IS 6745
3,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Insulators Metal Parts,Uniformity of Zinc Coating,IS 2633
4,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Porcelain Insulators,Bulk Density Determination,ASTM C-373-18
5,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Porcelain Insulators,Bulk Density Determination,IS:1528 Part -15
6,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Porcelain Insulators,Closed porosity Determination,IS:1528 Part -15
7,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Porcelain Insulators,Determination of Alumina inporcelain body,IS 9749:
8,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Procelain Insulators,Alumina content determination in all types of porcelainbody by XRF,ABI/SOP/03 (Sl. No.: 6)
440,MECHANICAL-MECHANICAL PROPERTIESOF METALS,HVDC Insulators,Zinc collar test,IEC 61325
441,MECHANICAL-MECHANICAL PROPERTIESOF METALS,HVDC insulators,Zinc sleeve test,IEC 61325
442,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Insulators Metal Parts (Metal Cap, Ball Pin & Split Pin)",Position of Locking device,IEC 60383
443,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Insulators Metal Parts (Metal Cap, Ball Pin & Split Pin)",Operation,IEC 60383
444,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Brinell Hardness 10/3000,IS 1500 (Part 1)
445,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Dimension Requirements of Ball & Socket,IEC: 60120
446,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Dimension Requirements of Ball & Socket,IS: 2486-II
447,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Freedom from defect,IS 2629 Cl. No. 6.1
448,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Rockwell hardness,IS 1586 (Part 18)
449,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Verication of Locking System,IEC: 60383
450,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),Verication of resistance tobending,IEC: 60372
451,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Insulators Metal Parts (Metal Caps Ball Pin & Split Pin),"Verication of Dimension(Length,Width,Thickness)",ABI/SOP/01
