0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- BUILDINGMATERIAL,Admixture,Ash Content,IS 9103
2,CHEMICAL- BUILDINGMATERIAL,Admixture,Chloride Content,IS 9103
3,CHEMICAL- BUILDINGMATERIAL,Admixture,Dry Material Content,IS 9103
4,CHEMICAL- BUILDINGMATERIAL,Admixture,p H,IS 9103
5,CHEMICAL- BUILDINGMATERIAL,Admixture,Relative Density,IS 9103
6,CHEMICAL- BUILDINGMATERIAL,Aggregate,Alkali Aggregate Reactivity (dissolvedsilica) - Gravimetric Method,"IS 2386 (Part 7, Clause 3.7)"
7,CHEMICAL- BUILDINGMATERIAL,Aggregate,Alkali Aggregate Reactivity (Reduction inalkalinity),"IS 2386 (Part-7), Cl. 3.9"
8,CHEMICAL- BUILDINGMATERIAL,Bentonite,Alkalies as K2 O,IS 12446
9,CHEMICAL- BUILDINGMATERIAL,Bentonite,Alkalis as Na 2 O,IS 12446
10,CHEMICAL- BUILDINGMATERIAL,Bentonite,Alumina oxide as Al 2 O3,IS 12446
11,CHEMICAL- BUILDINGMATERIAL,Bentonite,Calcium oxide as Ca O,IS 12446
12,CHEMICAL- BUILDINGMATERIAL,Bentonite,Iron oxide as Fe 2 O3,IS 12446
13,CHEMICAL- BUILDINGMATERIAL,Bentonite,Loss on Ignition as LOI,"IS 6186, Appendix-A"
14,CHEMICAL- BUILDINGMATERIAL,Bentonite,Magnesium oxide as Mg O,IS 12446
15,CHEMICAL- BUILDINGMATERIAL,Bentonite,Moisture content,"IS 6186, Appendex-A"
16,CHEMICAL- BUILDINGMATERIAL,Bentonite,p H value,"IS 6186, Appendix-A"
17,CHEMICAL- BUILDINGMATERIAL,Bentonite,Silicon dioxide as Sio 2,IS 12446
18,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Combined Alumina oxideand iron oxide,IS 4032
19,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Silica Content (As Si O2),IS 4032
20,CHEMICAL- BUILDINGMATERIAL,"Cement (OPC, PPC )",Chloride,IS 4032
21,CHEMICAL- BUILDINGMATERIAL,"Cement (OPC, PPC )",Sulpuric Anhydride (SO3),IS 4032
22,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/PPC),Insoluble Residue,IS 4032
23,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/PPC),Total Alkalies as Na 2 O,IS 4032
24,CHEMICAL- BUILDINGMATERIAL,Cement OPC,Ferric oxide (Fe 2 O3),IS 4032
25,CHEMICAL- BUILDINGMATERIAL,Cement OPC/PPC,Loss on Ignition,IS 4032
26,CHEMICAL- BUILDINGMATERIAL,Cement PPC/ OPC,Magnesia (Mg O),IS 4032:
27,CHEMICAL- BUILDINGMATERIAL,Cement PPC/OPC,Calcium oxide (Ca O),IS 4032
28,CHEMICAL- BUILDINGMATERIAL,Clinker,Alumina Oxide as Al 2 O3,IS 4032
29,CHEMICAL- BUILDINGMATERIAL,Clinker,Calcium Oxide as Ca O,IS 4032
30,CHEMICAL- BUILDINGMATERIAL,clinker,Chloride Content as Cl,IS 4032
