0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplier Electronic Control Gear for LEDModules,Clearances,IS 15885 (Part 1) (Clause 16)
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplier Electronic Control Gear for LEDModules,Creepage Distances,IS 15885 (Part 1) (Clause 16)
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplier Electronic Control Gear for LEDModules,Moisture Resistance and Insulation,IS 15885 (Part 1) (Clause 11)
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Clearances,IS 10322 (Part 5/ Sec 1)(Clause 8)
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Creepage Distances,IS 10322 (Part 5/ Sec 1)(Clause 8)
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,External Wiring,IS 10322 (Part 5/ Sec 1)(Clause 11)
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Insulation Resistance,IS 10322 (Part 5/ Sec 1)(Clause 15)
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Flood Light,Clearances,IS 10322 (Part 5/ Sec 5)(Clause 8)
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Flood Light,Creepage Distances,IS 10322 (Part 5/ Sec 5)(Clause 8)
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Flood Light,External Wiring,IS 10322 (Part 5/ Sec 5)(Clause 11)
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Flood Light,Insulation Resistance,IS 10322 (Part 5/ Sec 5)(Clause 15)
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaries for Road and Street Lighting,Clearances,IS 10322 (Part 5/ Sec 3)(Clause 8)
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaries for Road and Street Lighting,Creepage Distances,IS 10322 (Part 5/ Sec 3)(Clause 8)
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaries for Road and Street Lighting,External Wiring,IS 10322 (Part 5/ Sec 3)(Clause 11)
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Luminaries for Road and Street Lighting,Insulation Resistance,IS 10322 (Part 5/ Sec 3)(Clause 15)
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaries,Insulation Resistance,IS 10322 (Part 5/ Sec 2)(Clause 15)
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaries,Clearances,IS 10322 (Part 5/ Sec 2)(Clause 8)
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaries,Creepage Distances,IS 10322 (Part 5/ Sec 2)(Clause 8)
19,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Recessed Luminaries,External Wiring,IS 10322 (Part 5/ Sec 2)(Clause 11)
20,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self-Ballasted LED Lamps for General Lighting Service,Clearances,IS 16102 (Part 1) (Clause 14)
21,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self-Ballasted LED Lamps for General Lighting Service,Creepage Distances,IS 16102 (Part 1) (Clause 14)
22,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self-Ballasted LED Lamps for General Lighting Service,Insulation Resistance Testafter Humidity Treatment,IS 16102 (Part 1) (Clause 18)
23,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self-Ballasted LED Lamps for General Lighting Service,Mechanical Strength,IS 16102 (Part 1) (Clause 19)
