0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,p H,(Clause No. 7) BS EN 1568-3
2,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Freezing Point,(Clause No. 5) BS EN 1568-3
3,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Sediment after ageing,(Clause No. 4.2) BS EN 1568-3(Annex-B & Annex- C)
4,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Sediment before ageing,(Clause No. 4.1) BS EN 1568-3(Annex-B & Annex- C)
5,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Stability/ Separation test,(Clause No. 9) BS EN 1568-3
6,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Surface tension,(Clause No. 8) BS EN 1568-3
7,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Viscosity: Newtonian,(Clause No. 6.1) BS EN 1568 -3
8,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Low expansion Foam Concentrates for surface applicationto water immiscible liquids,Viscosity: Pseudo Plastic Foam Concentrates,(Clause No. 6.2) BS EN 1568-3(Annex- D)
9,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Apparent Density,"(Annex-A, 1) UL 299 C"
10,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Chemical Analysis Test,"(Annex-A, 2) UL 299 C"
11,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Elevated temperature test of Extinguishing agent,(Clause No. 8) UL 299 C
12,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Hygroscopicity test,(Clause No. 9) UL 299 C
13,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Packed chamber test,(Clause No. 10) UL 299 C
14,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry Chemical for special applications,Water Repellency Test,"(Annex-A, 1) UL 299 C"
15,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry chemical powders for Fire Fighting,Hygroscopicity,"(Clause No. 5, Table - 1, Sl. no.5, Annex- D) IS 4308"
16,CHEMICAL- FIRE FIGHTINGEQUIPMENTS &ACCESSORIES,Dry chemical powders for re ghting,Minimum Main Chemical Constituent (for ABC Powder)by percentage (Sl no.-(ii) of Table 1 & ANNEX-A),"(Clause No. 5, Table - 1, Sl. no.2, Annex- A) IS 4308"
