0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,AC High Voltage Test,"IS 16444 (Part-1) withamendment no, 2&3 Cl No 6.10.6"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Insulation Resistance Test,"IS 16444 (Part-1), withamendment no 1, 2&3 Cl No.6.10.6"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of Limits of Error,"IS 16444 (Part-1) withamendment no. 1, 2&3 Cl No. 6.10.6"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of Meter Constant,"IS 16444 (Part-1), withamendment no. 1, 2&3 Cl No. 6.12"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of No Load Condition,"IS 16444 (Part-1), withamendment no. 1, 2&3 Cl No.6.12"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of Power Consumption,"IS 16444 (Part-1), Cl.6.10.1"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of Repeatability of Error,"IS 16444 (Part-1), withamendment no. 1, 2&3 Cl No.6.12"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Single Phase ac static direct connected watthour Smart Meters Class-1,Test of Starting Condition,"IS 16444 (Part-1), withamendment no. 1, 2&3 Cl No.6.12"
