0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),"Clearances, creepagedistances and solidinsulation","IS/IEC 60335-2-89, Clause 29"
2,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Energy Consumption Test,"IS 7872, Clause 11.2,(Amd 1)"
3,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Leakage current andelectric strength atoperating temperature,"IS/IEC 60335-2-89, Clause 13 & 16"
4,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Measurement of Freezer Storage Capacity,"IS 7872, Clause 8.0 (Amd 1)"
5,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Protection against accessto live parts,"IS/IEC 60335-2-89, Clause 8"
6,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Provision for earthing,"IS/IEC 60335-2-89 ,Clause 27"
7,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Pull Down Test,"IS 7872, Clause 11.1,(Amd 1)"
8,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Deep Freezer (Hard Top & Glass Top),Temperature Rise Test,"IS 7872, Clause 11.3,(Amd 1)"
9,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator,Energy Consumption Test,"Withdrawn IS 1476 Part-1 Clause 14.9,(Amd 1, Amd 2, Amd 3)"
10,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator,Pull Down Test,"Withdrawn IS 1476 Part-1 Clause 14.5,(Amd 1, Amd 2, Amd 3)"
11,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator,Volume Measurement Test,"Withdrawn IS 1476 Part-1 Clause 8,(Amd 1, Amd 2,Amd 3)"
12,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator & Frost Free Refrigerator,Cooling Capacity Test,"IS 17550 (Part 2), Clause 7"
13,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator & Frost Free Refrigerator,Energy Consumption Test,"AS/NZ4474.1 Clause 2.16,(Amd 1 , Amd 2)"
14,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator & Frost Free Refrigerator,Energy Consumption Test,IS 17550 (Part 3) Annex F
15,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator & Frost Free Refrigerator,Freezing Capacity Test,"IS 17550 (Part 2),Clause 8"
16,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Direct Cool Refrigerator & Frost Free Refrigerator,Heating,"IS 302 (Part-1), Clause 11,(Amd 1, Amend 2, Amd 3,Amd 4)"
