0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,"20h rate Capacity Test C5,e","SNI 0038,Clause 1.5.1"
2,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,5 Hr.Capacity,"SNI 0038,Clause 8.4.2"
3,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Charge acceptance test,"SNI 0038,Clause 1.5.4"
4,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Charge retention Test,"SNI 0038,Clause 1.5.5"
5,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Cranking performance Test,"SNI 0038,Clause 1.5.3"
6,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Dimensions,"SNI 0038,Clause 8.4.1"
7,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Electrical charge capacity test,"SNI 0038,Clause 8.4.4"
8,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Electrolyte retention Test,"SNI 0038,Clause 1.5.10"
9,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Endurance test for Class-Abatteries,"SNI 0038,Clause 1.5.6"
10,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Endurance test for Class-Bbatteries,"SNI 0038,Clause 1.5.7"
11,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Heavy load Endurance,"SNI 0038,Clause 8.4.5a"
12,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,High rate dscharge test,"SNI 0038,Clause 8.4.3"
13,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Initial Charge prior to test,"SNI 0038,Clause 8.3"
14,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Light load Endurance,"SNI 0038,Clause 8.4.5b"
15,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Reserve Capacity (RC) test,"BS EN 50342-1 ,cl. no 6.9"
16,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Resistance against fastening,"SNI 0038,Clause 8.4.8"
17,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Strength of terminal,"SNI 0038,Clause 8.4.7"
18,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Vibration Resistance Test,"SNI 0038,Clause 1.5.9"
19,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Vibration Resistance Test,"SNI 0038,Clause 8.4.6"
20,ELECTRICAL- CELLS &BATTERIES,Batteries for four or more wheels Vehicles,Water Consumption Test,"SNI 0038,Clause 1.5.8"
21,ELECTRICAL- CELLS &BATTERIES,Battery for category L motor vehicles,10 hr Capacity,"SNI 4326, Clause 7.3.3.1"
22,ELECTRICAL- CELLS &BATTERIES,Battery for category L motor vehicles,Dimensions,"SNI 4326, Clause 7.3.1"
