0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,"Color Tolerances, Color Dierences (Instrumentally Measured Color Coordinates)",ASTM D2244
3,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Accelerated Exposure of Automotive Interior Trim(Controlled Irradiance Xenon-Arc),SAE J2412
4,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Colour,ISO 105- A02:1993/Cor 2
7,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Exposure of Plastics for Xenon-Arc (Intended for Indoor Applications),ASTM D4459
8,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Exposure to Light Sources(Fluorescent UV Lamps),ISO 4892-3 (Part 3)
9,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Exposure to Light Sources(Xenon-arc Lamps),ISO 4892-2
10,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Haze of Transparent Plastics,ASTM D1003
11,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Maximum Extractable Fraction(in n-hexane),"21 CFR 177.1520 (c) 3.1a, 21 CFR 177.1520 (c) 1.1a"
12,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Maximum Soluble Fraction (in Xylene),"21 CFR 177.1520 (c) 3.1a, 21 CFR 177.1520 (c) 1.1a"
13,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Overall Migration (in Olive Oil),NEN-EN 1186-2 (by Total Immersion) NENEN 1186-10(by Total Immersion)
14,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Overall Migration (into Aqueous Acidic Food Stimulants),NEN-EN 1186-3 (Total Immersion Method: Method A)
15,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Overall Migration (into Aqueous Alcoholic Food Stimulants),NEN-EN 1186- 3 (Total Immersion Method: Method A)
16,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Resistance of Plastics to Chemicals,ASTM D543
17,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Specular Gloss,ASTM D523
18,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Stress Cracking (Resistance to Environmental),ISO 22088 (Part 3)
19,CHEMICAL- PLASTIC &RESINS,Plastic & Resins,Transmittance of Transparent Plastics,ASTM D1003
48,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Charpy Impact Resistance of Notched Specimens,ASTM D6110
49,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Charpy Impact Test,ISO 179-1
50,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Coecient of Linear Thermal Expansion and Glass Transition Temperature,ASTM E831
51,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Coecient of Linear Thermal Expansion and Glass Transition Temperature,ISO 11359-2
52,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Compositional Analysis (by Thermo-gravimetry),ASTM E1131
53,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Compositional Analysis (by Thermo-gravimetry),ISO 11358-1
54,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Creep Behaviour (Tensile Creep),ISO 899-1
55,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dierential Scanning Calorimetry - Temperature and Enthalpy of Melting and Crystallization,ISO 11357-3
56,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties- Complex Shear Viscosity,ISO 6721-10
57,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties- Flex,ASTM D5023
58,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties- Torsion (Shear),ASTM D5279
59,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties- Torsional (Shear) Vibration,ISO 6721-7
60,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties- Flexural Vibration,ISO 6721-5
61,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties.- Melt Rheology(Viscosity),ASTM D4440
62,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Dynamic Mechanical Properties.- Melt Rheology(Viscosity),ISO 6721-10
63,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Flexural Properties- Modulus,Strength & Strain",ASTM D790
64,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Flexural Properties- Modulus,Strength & Strain",ISO 178
65,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Glass Transition Temperatureand Step Height - by Dierential Scanning Calorimetry (Tg, Tm and TC)",ISO 11357-2
66,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,High Speed Puncture Test,ASTM D3763
67,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Izod Impact Strength,ISO 180
68,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Izod Pendulum Impact-Resistance Test,ASTM D256
69,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Melt Flow Index,ASTM D1238
70,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Melt Flow Index,ISO 1133-2: 2011 & Part -1
73,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Puncture Impact Behaviour of Rigid Plastics,ISO 6603-2
74,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Specic Heat Capacity,ASTM E1269
75,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Specic Heat Capacity (by DSC),ISO 11357-4
76,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Temperature of Deectionunder Load (HDT),ASTM D648
77,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Temperature of Deectionunder Load (HDT),ISO 75-1
78,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Tensile Fatigue (Uniaxial Fatigue Properties of Plastics),ASTM D7791
79,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Tensile- Impact Strength,ISO 8256
80,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Tensile Properties- Modulus,Strength & Strain",ASTM D638
81,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Tensile Properties- Modulus,Strength & Strain",ISO 527-2
82,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,"Tensile, Compressive and Flexural Creep and Creep-Rupture of Plastics",ASTM D2990
83,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Thermal Conductivity of Plastics (by Means of Transient Line- Source Technique),ASTM D5930
84,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Transition Temperatures and Enthalpies of Fusion and Crystallization of Polymers by Dierential Scanning Calorimetry,ASTM D3418
85,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Unnotched Cantilever- Beam Impact Resistance Test,ASTM D4812
86,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Vicat Softening Temperature(VST),ASTM D1525
87,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Plastic Material and Products,Vicat Softening Temperature(VST),ISO 306
