0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",High Temperature Test,MIL-STD-810 H
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Humidity Test,JSS 55555
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Low Temperature Test,MIL-STD-810 H
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Thermal Shock,JSS 55555
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Tropical Exposure,JSS 0256.01
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Damp Heat Test,JSS 55555
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Damp Heat Test,MIL-STD-810 H
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",High Temperature Test,JSS 55555
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Humidity Test,MIL-STD-810 H
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, cable harness ,batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Low Temperature Test,JSS 55555
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Thermal Cycling,JSS 55555
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Thermal Cycling,MIL-STD-810 H
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Tropical Climate,MIL-STD 2164 A
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Thermal Shock,MIL-STD-810 H
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Rapid Temperature Test,MIL-STD-810 H
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Rapid Temperature Test,JSS 55555
17,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Thermal Cycling Test,MIL-STD 2164 A
18,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Tropical Exposure Test,JSS 55555
19,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components, Cable Harness ,Batteries, Electronic equipment, Avionic LRUs,Data Bus Couplers (Box & inline couplers)",Tropical Exposure Test,MIL-STD-810 H
