0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Elastomer Insulated cables for working voltageup to and including 1100 volts,Persulphate Test,"IS 9968 (Part 1), IS 10810(Part 4)"
2,ELECTRICAL- CABLES& WIRES,Elastomer Insulated cables for working voltageup to and including 1100 volts,Tensile Strength at Breakon Insulation and Sheath,"IS 9968 (Part 1), IS 10810(Part 7)"
3,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Annealing Test for Copper Wire,"IS 2465, IS 10810 (Part 1)"
4,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Capacitance Test,IS 2465(Cl. 16)
5,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Conductor Resistance Test,"IS 2465, IS 10810 (Part 5)"
6,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Eect of Heat on Flexibility,IS 2465(Cl. 18)
7,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,"Eect of Lubricating Oil,break Fluid, Diesel, Petrol(for general wiring cables)",IS 2465(Cl. 20)
8,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Eect of Oil,IS 2465 (Cl. 19)
9,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Elongation at Break on Insulation and Sheath,"IS 2465, IS 10810 (Part 7)"
10,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Elongation at Break on Insulation and Sheath After Ageing in Air Oven,"IS 2465, IS 10810 (Part 11)"
11,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Elongation at Break on Insulation and Sheath After Ageing in Oxygen Bomb,"IS 2465, IS 10810 (Part 16)"
12,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Heat Shock Test,"IS 2465, IS 10810 (Part 14)"
13,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,High Voltage Test (Room Temperature),"IS 2465, IS 10810 (Part 45)"
14,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,High Voltage Test (Water Immersion),"IS 2465, IS 10810 (Part 45)"
15,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Hot Deformation test /Pressure Test at High Temperature,"IS 2465, IS 10810 (Part 15)"
16,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Loss of Mass Test,"IS 2465, IS 10810 (Part 10)"
17,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Overall Dimensions of Cable,"IS 2465, IS 10810 (Part 6)"
18,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Ozone Resistance Test,IS 2465(Cl. 17)
19,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Persulphate Test,"IS 2465, IS 10810 (Part 4)"
20,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Shrinkage Test,"IS 2465, IS 10810 (Part 12)"
21,ELECTRICAL- CABLES& WIRES,Cables for Motor Vehicle,Tensile Strength at Breakon Insulation and Sheath,"IS 2465, IS 10810 (Part 7)"
