0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Bending Test,"IS 14255 (Cl.11.4), IS 10810(Part 50)"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Breaking load on Messenger Conductor,"IS 14255 (Cl.6.5), IS 10810(Part 2)"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Carbon Content Test,"IS 14255 (Cl.10.1.d.3), IS10810 (Part 32)"
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Conductor Resistance,"IS 14255 (Cl.10.1.a.3), IS10810 (Part 5)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Elongation at break on Insulation and Sheath,"IS 14255 (Cl.10.1.c.i &10.1.d.i), IS 10810 (Part 7)"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Elongation on Messenger Conductor,"IS 14255 (Cl.6.5), IS 10810(Part 2)"
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,High Voltage test at roomtemperature,"IS 14255 (Cl.10.1.g), IS 10810(Part 45)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Hot Set Test,"IS 14255 (Cl.10.1.c.3), IS10810 (Part 30)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Insulation Resistance 500 V to 5000 V,"IS 14255 (Cl.10.1.d.f), IS 10810(Part 43)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages up to andincluding 1100 V,Shrinkage Test,"IS 14255 (Cl.10.1.c.4), IS10810 (Part 12)"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile strength (for aluminumconductor),"IS 14255 (Cl.10.1.a.1), IS10810 (Part 2)"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile Strength after Ageingin air oven,"IS 14255 (Cl.10.1.c.2), IS10810 (Part 11)"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile strength on Insulationand Sheath,"IS 14255 (Cl.10.1.c.i &10.1.d.i), IS 10810 (Part 7)"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Test for eccentricity and Thickness of insulation andsheath/Overall Dimensions,"IS 14255 (Cl.10.1.e), IS 10810(Part 6)"
15,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Water Absorption Test(Gravimetric),"IS 14255 (Cl.10.1.c.5), IS10810 (Part 33)"
16,ELECTRICAL- CABLES &WIRES,Bundled assembled cores for overhead system of ratedvoltage 0.6/1 k V,Absence of Capillary waterrising,"NFC-33-209, Clause 6.4"
