0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- PETROLEUMAND PRODUCTS,Automotive Oil,Apparent Viscosity of Engine Oils and Base Stocks Between 10 C to 35 C Using Cold-Cranking Simulator,ASTM D 5293
2,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil,Corrosiveness to Copper from Petroleum Products by Copper Strip Test,ASTM D 130
3,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil,Oxidation Stability of Steam Turbine Oils by Rotating Pressure Vessel (RPVOT),ASTM D 2272
4,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Automotive oil,Total Base number,ASTM D 2896
5,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Acid Number of Petroleum Products by Potentiometric Titration,ASTM D 664
6,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Appearance,ASTM D 4176 A Procedure 1
7,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Calculating Viscosity Indexfrom Kinematic Viscosity at 40 C and 100 C,IS 1448 (Part 56)
8,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Colour,ASTM D 6045
9,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Colour,ASTM D1500
10,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Density,ASTM D1298
11,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Density,IS 1448 (Part 16)
12,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Density of Liquids by Stabinger Viscometer,ASTM D 7042
13,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Determination of TBN by Potentiometric Titration,IS 1448-Part 1: sec 2
14,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Dynamic Viscosity of Liquids by Stabinger Viscometer,ASTM D 7042
15,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Flash Point (COC),ASTM D 92
16,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Flash Point (COC),IS 1448 (P 69)
17,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 100 C,ASTM D445
18,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 100 C,ASTM D7042
19,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 100 C,IS 1448 (Part 25:Sec 1)
20,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 40 C,ASTM D445
21,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 40 C,ASTM D7042
22,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Kinematic Viscosity at 40 C,IS 1448 (Part 25:Sec 1)
23,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Pour Point,ASTM D 97
24,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Pour Point,IS 1448 (Part 10):Sec 2
25,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Total Acid & Base number,ASTM D 974
26,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Total Acid number /Neutralization Value,IS 1448 (Part 2)
27,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Total Sulfur Content,ASTM D 4294
28,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Total Sulfur Content,ISO 20847
29,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil & Rubber Processing Oil,Viscosity Index,ASTM D2270
30,CHEMICAL- PETROLEUMAND PRODUCTS,Industrial Oil / Rubber Processing Oil,Determination of Flash & Fire Point COC Method,ISO 2592
31,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,Aniline Point,ASTM D611
32,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,Aniline Point,IS 1448 (Part 3)
33,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,Aniline Point,ISO 2977
34,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Aromatic",ASTM D 2140
35,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Aromatic",IEC 60590
36,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Aromatic",IS 13155
37,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Naphthenic",ASTM D 2140
38,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Naphthenic",IS 13155
39,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Paranic",ASTM D 2140
40,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,"Carbon Type Analysis,Paranic",IS 13155
41,CHEMICAL- PETROLEUMAND PRODUCTS,Rubber Processing Oil,Polycyclic Aromatics,BS 2000 (Part 346)
