0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Tensile Performance Test,IEC 60794-1-21 Method E1
2,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Aeolian Vibration Test,IEC 60794-1-21 Method E19:2015 & IEEE 1138
3,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Bend Test,IEC 60794-1-21 Method E11:2015 & IEEE 1138
4,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Crush Test,IEC 60794-1-21 Method E3:2015 IEEE 1138
5,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Galloping Test,IEC 60794-1-21 Method E26:2015 & IEEE 1138
6,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Impact Test,IEC 60794-1-21 Method-E4
7,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Repeated Bend Test,IEC 60794-1-21 Method E6
8,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Sheave Test,IEC 60794-1-21 Method E18 B:2015 & IEEE-1138
9,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Strain Margin Test,IEC 60794-1-21 Method E1:2015 & IEEE 1138
10,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber Cable/OPGW Cable,Torsion Test,IEC 60794-1-21 Method E7
11,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGW Cable,Cut O Wavelength Test,"IEC 60793-1-44 Method A,Method B & Method C"
12,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Attenuation Measurement,IEC 60793-1-40 Method C
13,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Chromatic dispersion Test,IEC 60793-1-42 Method C
14,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Cladding Diameter,EIA/TIA455-176& IEC60793-1-20 Method B
15,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Cladding Non-circularity,EIA/TIA455-176& IEC60793-1-20 Method B
16,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Core Clad Concentricity Error,EIA/TIA455-176& IEC60793-1-20 Method B
17,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Diameter Over Primary Coated,EIA/TIA455-176& IEC60793-1-20 Method A
18,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,"Mode eld diameter of SMbers at 1310 nm,1550 nm",IEC 60793-1-45 Method B
19,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Optical Length,IEC 60793-1-22 Method C
20,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Polarization modedispersion(PMD) Test,IEC 60793-1-48 Method A
21,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Temperature Cycle Test,IEC 60794-1-22 Method F1 &IEEE 1138
22,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Zero Dispersion Slope Test,IEC 60793-1-42 Method C
23,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Optical Fiber/Optical Fiber Cable/OPGWCable,Zero Dispersion Wavelength Test,IEC 60793-1-42
