0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI / EMCTEST FACILITY,Lighting Equipment [Solid State Lighting (LED) Products],Harmonic Current Measurement and Limits,"IEC 61000-3-2 (Edition 5.2,Clause No. 6.0 & 7.0)"
2,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Color Characteristics - CCT,IES LM-79 (Clause No. 9.0)
3,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Color Characteristics - CRI,IES LM-79 (Clause No. 9.0)
4,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Color Characteristics Co-ordinates,IES LM-79 (Clause No. 9.0)
5,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Color Rendition,"ANSI/IES TM-30 (Annexure D,Figure D-3)"
6,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Electrical Measurement (Input Current),IES LM-79 (Clause No. 6.0)
7,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Electrical Measurement (Input Power),IES LM-79 (Clause No. 6.0)
8,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Electrical Measurement (Input Voltage),IES LM-79 (Clause No. 6.0)
9,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Electrical Measurement (Power Factor),IES LM-79 (Clause No. 6.0)
10,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Luminous Flux Measurement,IES LM-79 (Clause No. 7.0)
11,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Luminous Intensity Distribution,IES LM-79 (Clause No. 8.0)
12,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Normal Temperature Test (In-Situ Temperature Measurement Test),ANSI/UL 1598 (Clause No. 15.0)
