0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,5 contact parts per testbatch shall be insertedand disconnected 5 times,"GS 95006, B 5.1"
2,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,All device under test(DUT) are inserted,"LV214, B 5.2"
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,All device under test(DUT) are inserted,"MBN 10 384, B 5.2"
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,All device under test(DUT) are inserted,"VW 75174, L 5,2"
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Circuit continuity Monitoring,"USCAR- 2 Rev 8, 5.1.9"
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Compressibility,"ES 91101-00 Rev 44,6.1.1"
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Connector and/or Terminal Cycling,"USCAR-2 Rev 8, 5.1.7"
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,"Connector and/or Terminal, mate cycling","USCAR-37, 5.1.7"
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact disturbance,IEC 60512-2-5
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact engagementlength,"GS 95006, E 4.1"
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact engagementlength,"LV214,E4.1"
12,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact engagementlength,"MBN 10 384, E 4.1"
13,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"GS 95006, E 5,1"
14,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"LV214,E5.1"
15,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"MBN 10 384, E 5.1"
16,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimention,"VW 75174, P 5.1"
17,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact overlap,"VW 75174,P 4.1"
