0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Circuit Continuity Monitoring,"USCAR-2 Rev 7, 5.1.9"
2,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Conditioning,"PF90012,1.8.2"
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,"Connector and/or Terminal, Mate Cycling","USCAR-37, 5.1.7"
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Connector-to-Connector Audible Click,"USCAR-2 Rev 7, 5.4.7"
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact disturbance,"IEC 60512-2-5,"
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact engagementlength,"MBN 10 384, E 4.1"
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact engagementlength,"GS 95006, E 4.1"
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"GS 95006, E 5.1"
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"MBN 10 384, E 5.1"
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact openingdimension,"VW 75174, P 5.1"
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Contact overlap,"VW 75174, P 4.1"
12,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,"Cross-Section Analysis(Terminal crimp height,width measurement)","USCAR-21 Rev-4, 4.3"
13,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,"Determination of contactopening dimension,surface analysis (Terminalopening gap width)","MBN 10 384, E 14.2"
14,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Determining the contactopening dimension andsurface analysis (Terminalopening gap width),"GS 95006, E 14.2"
15,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,"Determining the contactopening dimension,surface analysis (Terminalopening gap width)","VW 75174, P 14.2"
16,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Dimensions (of processedcomponents),"MBN 10 384, E 1.2"
17,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Cable harness components and their originalproducts,Dimensions (of processedcomponents),"GS 95006, E 1.2"
