0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer up to 500 KVA 11/ 0.433 KV,Pressure Test,IS 1180 Part-1 Clause No 21.2(h)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer up to 500 KVA 11/0.433 KV,Induce Over - Voltage Withstand,IS 1180 Part 1 (Clause no 21.2 f)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer up to 500 KVA 11/0.433 KV,Oil Leakage Test,IS 1180 Part-1 Clause no 21.2 (j)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,DISTRIBUTION TRANSFORMER UP TO 500 KVA11/0.433 KV,No-load current at 112.5% Voltage,IS 1180 Part-1 Clause No.21.4(C)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer up to 500 KVA 11/0.433 KV,Temperature Rise Test,IS 2026 Part-2 Clause No.5.2
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Insulation resistance,IS 1180 Part 1 Clause no 21.2 (e)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Load Losses at 100%,IS 1180 Part 1 Clause no 21.2(c)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Load Losses at 50%,IS 1180 Part 1 Clause no 21.2(c)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,No-Load Loss,IS 1180 Part 1 Clause No 21.2(d)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Separate-Source Voltage Withstand Test,IS 1180 Part-1 Clause No 21.2(g)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Voltage Ratio,IS 1180 Part-1 Clause no 21.2(b)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Winding Resistance,IS 1180 Part-1 Clause No 21.2(a)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV V,short-Circuit Impedance Test,IS 1180 Part-1 Clause No 21.2(c)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,Measurement of Phase Displacement,IS 1180 Part 1 Clause no 21.2(b)
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution transformer upto 500 KVA 11/0.433 KV,No Load Current,IS 1180 Part 1 Clause No 21.2(d)
