0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Bump,IEC 60065
2,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Bump,IS 616
3,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Crush,IEC 60065
4,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Crush,IS 616
5,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Needle Flame,IEC 60065
6,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Needle Flame,IS 616
7,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Surge,IEC 60065
8,ELECTRONICS- AUDIOEQUIPMENT,"Ampliers,Microphones/Electronic Games (Video);Electronic Musical Systems With Input Power 200w And Above; Optical Disc Players With Built In Ampliers Of Input Power 200w And Above; Plasma/LCD/LED Televisions; And Above; Power Adaptors For Audio, Video & Similar Electronic Apparatus; Plasma/ LCD/LED Television; Wireless Headphone and Earphone; Electronic Musical Systemwithinput power below 200 Watts; Television other than Plasma/ LCD/LED TVs; Wireless Microphone; Digital Camera; Video Camera; Webcam (Finished Product); Smart Speakers (with and without Display); Bluetooth Speakers;Audio, Video and Similar Electronic Products",Surge,IS 616
