0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Enclosures for Electrical Equipment,"Tests for Protectionagainst Access to Hazardous Parts and Solid Foreign Objects Indicatedby the First Characteristic Numeral (IP1 X, IP2 X, IP3 X,IP4 X, IP5 X & IP6 X)","IS/IEC 60529 + A1(Clause 5, 12 & 13)"
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Enclosures for Electrical Equipment,"Tests for Protectionagainst Water Indicatedby the Second Characteristic Numeral(IPX1, IPX2, IPX3, IPX4,IPX5, IPX6, IPX7 & IPX8)",IS/IEC 60529 + A1(Clause 6 & 14)
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Provision for Protective Earthing,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 10),IS15885 (Part 1) + A1(Clause 9), IEC61347-2-13 + A1"
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Construction,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 16), IS15885 (Part 1) + A1(Clause 15), IEC61347-2-13 + A1"
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Creepage Distance and Clearances,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 17), IS15885 (Part 1) + A1(Clause 16), IEC61347-2-13 + A1"
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Electric Strength,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 12), IS15885 (Part 1) + A1(Clause 12), IEC61347-2-13 + A1"
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Fault Conditions,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 14), IS15885 (Part 1) + A1(Clause 14), IEC61347-2-13 + A1"
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Marking,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 7), IS 15885(Part 1) + A1 (Clause 7),IEC 61347-2-13 + A1"
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Moisture Resistance and Insulation,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 11), IS15885 (Part 1) + A1(Clause 11), IEC61347-2-13 + A1"
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Protection against Accidental Contact with Live Parts,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 8), IS15885(Part 1) + A1 (Clause 10),IEC 61347-2-13 + A1"
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Resistance to Corrosion,"IS 15885 (Part 2/Sec 13)+ A1 (Clause 20),IS15885 (Part 1) + A1(Clause 19), IEC61347-2-13 + A1"
