0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",B. cereus,FSSAI MANUAL OFMETHOD OF ANALYSIS-MICROBIOLOGICALEXAMIATION OF FOODAND WATERFSSAI15.002:2024
2,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",B. cereus,IS 5887 (P-6) : 2012 RA-2018 ISO 7932:2004
3,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Coliform,FSSAI MANUAL OFMETHOD OF ANALYSIS-MICROBIOLOGICALEXAMIATION OF FOODAND WATER:FSSAI15.004:2024
4,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Coliform,IS 5401 (Part-1) : 2012(RA 2022) ISO 4832 :2006
5,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Enterobacteriaceae,FSSAI MANUAL OFMETHOD OF ANALYSIS-MICROBIOLOGICALEXAMIATION OF FOODAND WATERFSSAI15.010:2024
6,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Enterobacteriaceae,ISO 21528 (P-2) : 2017
7,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Escherichia Coli,FSSAI MANUAL OFMETHOD OF ANALYSIS-MICROBIOLOGICALEXAMIATION OF FOODAND WATER:FSSAI15.012:2024
8,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",Escherichia Coli,IS 5887 (Part-1) : 1976(RA 2022)
9,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Bakery and confectionery, Biscuit, Cookies,Bread,chewing gum, Hard boiled confectionery,pastries, brownies, cakes & egg products.Waers, mousse cakes, doughnuts,candies,toes",L. monocytogenes,IS 14988 (P-1): 2020 ISO11290-1:2017
