0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- CORROSIONTESTS,"Plated, Painted, Powder Coated, Automotive, Rubber and Plastic Components",Salt spray test,ISO 9227 5th Edition
2,CHEMICAL- CORROSIONTESTS,"Plated, Painted, Powder Coated, Automotive, Rubber and Plastic Components",Salt Spray Test/ Corrosion Resistance,ASTM B 117
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Cold and Dry heat Test(Chamber size 1m x 1m x 1m),"IEC 60068-3-1, 3.0 Edition"
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Cold test (Chamber size 1m x 1m x 1m),IS 9000 (Part 2) Sec. 1 - 4
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Cold test (Chamber size 1m x 1m x 1m),IEC 60068-2-1
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Composite Temperature /Humidity Cyclic Test (chambersize 1m x 1m x 1m),IEC 60068-2-38
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Composite Temperature and Humidity test (chamber size 1m x 1m x 1m),IS 9000 Part 6
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Damp heat Steady State(Chamber size 1m x 1m x 1m),IS 9000 Part 4
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,"Damp heat, cyclic (Chambersize 1m x 1m x 1m)",IEC 60068-2-30
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,"Damp heat, Cyclic (Chambersize 1m x 1m x 1m)",IS 9000 Part 5 Sec. 1- 2
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,"Damp heat, Steady state(Chamber size 1m x 1m x 1m)",IEC 60068-2-78
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Dry Heat Test (Size -1m x 1m x 1m),IS 9000 Part 3
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Dry heat Test size (1m x 1m x 1m),IEC 60068-2-2
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Dust Spray test (1m x 1m x 1m),IS 9000 Part 12
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Rain Spray Test/ Water Spray Test (1m x 1m x 1m),IS 9000 Part 16
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Thermal Shock Test/ Change oftemperature (0.75m x 0.75m x 0.75m),IS 9000 Part 14 Sec. 1-3
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive Components,Thermal shock/ Change of Temperature (0.75m x 0.75m x 0.75m),"IEC 60068-2-14, 7.0 Edition"
18,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Flexural Modulus,Flexural Modulus,ASTM D 790
19,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Flexural Strength,Flexural Strength,ASTM D790
20,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Izod Impact Test,Izod Impact Test,ASTM D 256
