0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Checking of dimensions,Cl 9 IS 14772
2,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Clearances and creepagedistances,"Cl 10 IEC 61439-2, Cl 10.4 IEC61439-1"
3,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box","Creepage distances,clearances and distancesthrough sealing compound",Cl 17 IS 14772
4,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Markings,Cl 8 IS 14772
5,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Resistance of insulatingmaterial to abnormal heat andto re,Cl 18 IS 14772
6,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Resistance to abnormal heatand re due to internal electriceects,Cl 10.2.7 IEC 61439-2
7,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Meter box, single/three LT phase distribution box",Temperature rise test,"Cl 10.10 IEC 61439-2, IEC61439-1"
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Midspan joints- insulated mid span joints for AB cable,Electrical ageing test,"Cl 6.8 NFC 033 021, NFC 033004"
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Air termination conductors, air-termination rods, earth lead-in rods, earth conductors and earth plates",Electrical resistivity test,Cl 5.2.5 IEC 62561-2
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Air termination conductors, air-termination",Bend and adhesion test forcoated conductors,Cl 5.2.3 IEC 62561-2
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Air termination conductors, air-termination rods, earth lead-in rods, earth conductors and earth plates",Test for thickness of coating,Cl 5.2.2 IEC 62561-2
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Anchoring Clamp,Dielectric Voltage Test,Cl.7.4 NFC-33-041
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Anchoring Clamp,Mechanical Test- Tensile teston Anchoring clamps,Cl.7.3.2 NFC-33-041
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Anchoring clamp,Mechanical test- tensile test onbracket,"Cl 7.3.1 NFC 33 041, NF EN50483-3"
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Covered Conductor Accessories,Branch Cable Pull out test,Cl 7.5.14 EN BS 50397-2
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Covered Conductor Accessories,Clamp Bolts Tightening Test for Connectors,Cl 7.5.11.2 EN BS 50397-2
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Covered Conductor Accessories,Clamp Bolts Tightening Test for Tension and Suspensionclamps,Cl 7.5.11.1 EN BS 50397-2
