0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Conducted Emission Test(CE102),MIL-STD-461 G
2,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies","Conducted Emission Test,Common Mode, Power Lines (CE-CM) (Live and Return)","SAC, ISRO Standard:SAC/SRA/TEG/TED/EMITL/FE/01/MARCH/2024"
3,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies","Conducted Emissions Test, Turn-on Transients(CE-Transient) - CE07 Transient","SAC, ISRO Standard:SAC/SRA/TEG/TED/EMITL/FE/01/MARCH/2024"
4,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Conducted Susceptibility Test (CS101),MIL-STD-461 G
5,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Conducted Susceptibility Test (CS115),MIL-STD-461 G
6,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Conducted Susceptibility Test (CS116),MIL-STD-461 G
7,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies","Conducted Susceptibility Test, Bulk Cable injection,Damped Sinusoidal Transients (CS-BCI-DST) -CS116 Damped","SAC, ISRO Standard:SAC/SRA/TEG/TED/EMITL/FE/01/MARCH/2024"
8,ELECTRONICS- EMCTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies","Conducted Susceptibility Test, Bulk Cable Injection,Impulse Excitation (CS-BCI-Impulse) - CS115","SAC, ISRO Standard:SAC/SRA/TEG/TED/EMITL/FE/01/MARCH/2024"
9,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Aerospace Systems,Vibration Test,MIL-STD-810 H
10,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",High Temperature Test,JSS 55555 Test No. 17
11,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",High Temperature Test,MIL-STD-810 H (Method 501.7)
12,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Humidity Test,MIL-STD-810 H (Method 507.6)
13,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Low Temperature Test,JSS 55555 Test No. 20
14,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Low Temperature Test,MIL-STD-810 H (Method 502.7)
15,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Shock Test,JSS 55555 Test No. 24
16,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Shock Test,MIL-STD-810 H (Method 516.8)
17,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Thermal Cycling/ Thermal Shock Test,JSS 55555 Test No. 22
18,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Thermal test (Thermo/Vacuum),ECSS-E-ST-10-03-C(Clause 5.5.4)
19,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Thermal Test (Thermo/Vacuum),NASA-STD-7002 A (Clause 4.3)
20,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Tropical Exposure Test,JSS 55555 Test No. 27
21,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Vibration Test,JSS 55555 Test No. 28
22,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Satellite Electrical/ Electronics Equipment, Sub Systems & Assemblies",Vibration Test,MIL-STD-810 H (Method 514.8)
