0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Elongation at break (for XLPE insulation),"IS 14255, IS 10810 (Part 7)"
2,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Bending Test,IS 14255 (Clause 11.4)
3,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Breaking load,"IS 14255, IS 10810 (Part 2)"
4,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Elongation at break,IS 14255 (Clause 11.3)
5,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Elongation at break (PEinsulation),"IS 14255 (Table 1, Clause 5.1), IS 10810 (Part 7)"
6,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",High voltage test,"IS 14255, IS 10810 (Part 45)"
7,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Hot Set test,"IS 14255, IS 10810 (Part 30)"
8,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Insulation resistance(Volume resistivity) test,"IS 14255 (Table 1, Clause 5.1), IS 10810 (Part 43)"
9,ELECTRICAL- CABLES& WIRES,"Aerial Bunched Cables for working voltages up toand including 1100 V, Physical tests for PEinsulation, Single, Two, Three, Four core,Polyethylene (P.E) & Crosslinked Polyethylene(XLPE) Insulated with aluminium alloy bare wireor insulated (messenger)",Resistance test,"IS 14255, IS 10810 (Part 5)"
