0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Breaking load Test for Messenger conductor,IS 14255
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Conductor Resistance Test,IS 14255
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Elongation Test for Messenger conductor,IS 14255
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Hot set test for XLPEInsulation,IS 14255
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Resistance Test on Messenger conductor,IS 14255
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Elongation at break ofinsulation & sheath,IS 14255
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,High voltage Test,IS 14255
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Insulation Resistance(Volume resistivity)Test,IS 14255
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Tensile strength ofinsulation & sheath,IS 14255
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Tensile Test (forphase/street lightconductor),IS 14255
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Test for thickness of Insulation & sheath,IS 14255
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables-For working Voltages up toand including 1100 volts,Wrapping Test (forphase/street lightconductor),IS 14255
13,ELECTRICAL- CABLES& WIRES,"Cables for rated voltages from 6 k V (Um = 7,2k V) up to 30 k V (Um = 36 k V)",Elongation test at breakfor PE outer sheath,IEC 60502 (Part 2)
14,ELECTRICAL- CABLES& WIRES,"Cables for rated voltages from 6 k V (Um = 7,2k V) up to 30 k V (Um = 36 k V)",Tensile strength test for PE outer sheath,IEC 60502 (Part 2)
15,ELECTRICAL- CABLES& WIRES,"Cables for rated voltages from 6 k V (Um = 7,2k V) up to 30 k V (Um = 36 k V)",Measurement of Thickness for PE outersheath,IEC 60502 (Part 2)
16,ELECTRICAL- CABLES& WIRES,Cross linked Polyethylene Insulated Thermoplastics Sheathed Cables (for Working Voltages from 3.3 k V up to and Including 33 k V),Conductor Resistance Test,IS 7098 (Part 2)
17,ELECTRICAL- CABLES& WIRES,Cross linked Polyethylene Insulated Thermoplastics Sheathed Cables (for Working Voltages from 3.3 k V up to and Including 33 k V),Hot set test for XLPEInsulation,IS 7098 (Part 2)
18,ELECTRICAL- CABLES& WIRES,Cross linked Polyethylene Insulated Thermoplastics Sheathed Cables (for Working Voltages from 3.3 k V up to and Including 33 k V),Elongation at break ofinsulation & outer sheath,IS 7098 (Part 2)
19,ELECTRICAL- CABLES& WIRES,Cross linked Polyethylene Insulated Thermoplastics Sheathed Cables (for Working Voltages from 3.3 k V up to and Including 33 k V),High voltage Test,IS 7098 (Part 2)
