0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Clearance and Creepage Distance,IS/IEC 60898-1 Cl. 8.1.3
2,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Dielectric Strength of the Main Circuit,IS/IEC 60898-1 Cl. 9.7.3
3,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Impulse Withstand Voltage,IS/IEC 60898-1 Cl. 9.7.5
4,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Insulation Resistance of themain Circuit,IS/IEC 60898-1 Cl. 9.7.2
5,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Mechanical and Electrical Endurance,IS/IEC 60898-1 Cl. 9.11
6,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Reliability of Screw -type Terminals for External Conductors,IS/IEC 60898-1 Cl. 9.5
7,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,"Reliability of Screw, Current Carrying Parts and Connections",IS/IEC 60898-1 Cl. 9.4
8,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Temperature Rise Test,IS/IEC 60898-1 Cl. 9.8
9,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Circuit Breakers,Tripping Characteristics,IS/IEC 60898-1 Cl. 9.10
10,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Contactor, Starter",Compliance with Constructional Requirement,IS/IEC 60947-4-1
11,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Contactor, Starter","IP 1 X, 2 X, 3 X",IS/IEC 60947-4-1
12,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Contactor, Starter, Overload Relay, MCB MCCB, Switch,Switch disconnector, Control Device, Auxiliary Device",Glow Wire Test,IS/IEC 6097-1
13,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Ability to Withstand Overload Currents,IS/IEC 60947-4-1 Cl. 9.3.5
14,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Conventional Operational Performance,IS/IEC 60947-4-1 Cl. 9.3.3.6
15,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Degrees of Protection of Enclosed Contactors and Starters,IS/IEC 60947-4-1 Cl. Annex C
16,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Degrees of Protection of Enclosed Equipment,IS/IEC 60947-4-3 (Test Sequence IV- ii)
17,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Degrees of Protection of Enclosed Equipment,IS/IEC 60947-4-2 Testsequence IV- ii
18,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Dielectric Properties,IS/IEC 60947-4-1 Cl. 9.3.3.4
19,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Dielectric Properties,IS/IEC 60947-4-2 Cl. 9.3.3.4
20,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Dielectric Properties,IS/IEC 60947-4-3 Cl. 9.3.3.4
21,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Electrical Durability,IS/IEC 60947-4-1 Cl. B.3
22,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,"Making and Breaking Capacities, Change-over abilityand Reversibility",IS/IEC 60947-4-1 Cl. 9.3.3.5
23,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Mechanical Properties of Terminals,IS/IEC 60947-4-1 Cl. 8.2.4
24,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Mechanical Properties of Terminals,IS/IEC 60947-4-2 (Testsequence IV- i)
25,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Mechanical Properties of Terminals,IS/IEC 60947-4-3 (Testsequence IV- i)
26,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Operation and Operating Limits,IS/IEC 60947-4-1 Cl. 9.3.3.1 &9.3.3.2
27,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Temperature Rise,IS/IEC 60947-4-1 Cl. 9.3.3.3
28,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Temperature Rise,IS/IEC 60947-4-2 Cl. 9.3.3.3
29,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Contactors and Motor Starters,Temperature Rise,IS/IEC 60947-4-3 Cl. 9.3.3.3
30,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Control Circuit Device and Switching element,"IP 1 X, 2 X, 3 X",IS/IEC 60947-5-1
31,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Enclosure,"IP1 X, 2 X, 3 X",IS/IEC 60529
32,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Enclosures,Ingress of Protection IP 1 X,IS/IEC 60529
33,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Enclosures,IP 2 X,IS/IEC 60529-1
34,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Enclosures,IP 3 X,IS/IEC 60529-1
35,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Low Voltage Switchgear and Controlgear,Operating Condition,IS/IEC60947-1 Cl. 7.2.1
36,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Actuation force or moment,IS/IEC 60947-5-1 Cl. 8.2.5
37,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Clearance and Creepage Distance,IS/IEC 60947-5-1 Cl. 7.1.3
38,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Degree of protection ofenclosed control circuit devices,IS/IEC 60947-1 Annex C
39,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Degree of protection providedby enclosure,IS/IEC 60529
40,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Degrees of protection ofenclosed equipment,IEC 60947-1
41,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric Properties,IEC 61439-1 Cl. 11.9
42,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric properties,IS/IEC 60947-1 Cl. 8.3.3.4
43,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric Properties,IS/IEC 60947-2 Cl. 8.3.3.3
44,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric Properties,IS/IEC 60947-5-1 Cl. 8.3.3.4
45,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric Verication,IS/IEC 60947-5-1 Cl. 8.3.3.5.5 b
46,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dielectric withstand,"IS/IEC 60947-2 (Cl. 8.3.3.6),(Cl. 8.3.5.4), (Cl. 8.3.6.6), (Cl.8.3.7.4),(Cl. 8.3.7.8),(Cl.8.3.8.6), (Cl. C.3) & ( Cl. H.3)"
47,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Dry Heat Test,IS/IEC 60947-2 Cl. F.7
48,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Electrical Durability,IS/IEC 60947-5-1 Cl. C.3
49,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Individual Pole short -circuit,IS/IEC 60947-2 Annex H
50,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Making and breaking capacities,IS/IEC 60947-1 Cl. 8.3.3.5
51,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Making and Breakingcapacities of Switchingelements under abnormalconditions,IS/IEC 60947-5-1 Cl. 8.3.3.5.3
52,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Making and breaking capacitiesof switching elements undernormal conditions,IS/IEC 60947-5-1 Cl. 8.3.3.5.2
53,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Mechanical operations andoperational performancecapability,IS/IEC 60947-2 Cl. 8.3.3.4
54,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Mechanical Properties ofterminals,IEC 60947-1 Cl. 8.2.4
55,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Mechanical Properties ofterminals,IS/IEC 60947-1 Cl. 8.2.4
56,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Mechanical Properties ofterminals,IS/IEC 60947-5-1 Cl. 8.2.4
57,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Operating limits of contactorrelays,IS/IEC 60947-5-1 Cl. 8.3.3.2
58,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Operational performancecapability performance,IS/IEC 60947-2 Cl. 8.3.4.3
59,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Overload performance,IS/IEC 60947-2 Cl. 8.3.3.5
60,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Performance under conditionalshort-circuit current,IS/IEC 60947-5-1 Cl. 8.3.4
61,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Performance under short-circuit current,IS/IEC 60947-1 Cl. 8.3.4
62,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Temperature rise test,IEC 61439-1 Cl. 10.10
63,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Temperature rise test,IS/IEC 60947-1 Cl. 8.3.3.3
64,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Temperature rise test,"IS/IEC 60947-2 (Cl. 8.3.3.7), (Cl. 8.3.4.5) , ( Cl. 8.3.6.4) , ( Cl.8.3.7.3),( Cl. 8.3.8.7)"
65,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Temperature rise test,IS/IEC 60947-5-1 Cl. 8.3.3.3
66,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Test Durability,IS/IEC 60947-1 Cl. 8.3.3.7
67,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Tripping Limit & Overload Release,"IS/IEC 60947-2 (Cl. 8.3.3.2),(Cl. 8.3.3.8),(Cl. 8.3.4.6),(Cl.8.3.5.5),(Cl. 8.3.6.2),(Cl.8.3.6.7),(Cl. 8.3.7.5), (Cl.8.3.7.9), (Cl. 8.3.8.2), (Cl.8.3.8.8),(Cl. C.4) & (Cl. H.4)"
68,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear,Undervoltage and shuntrelease,IS/IEC 60947-2 Cl. 8.3.3.9
69,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,LV Switchgear and Controlgear (for circuit breakers suitablefor isolation),Main contacts position,IS/IEC 60947-2 Cl. 8.3.3.10
70,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,MCB,Resistance to abnormal heatand re,IS/IEC 60898-1
71,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"MCCB, ACB, MCB, Contactor, Starter, Switch, Control Device, Auxiliary Device",Glow Wire Test,IS/IEC 60947-1
72,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"MCCB, ACB, MCB, Contactor, Starter, Switch, Control Device, Auxiliary Device",IP1 X,IS/IEC 60947-1
73,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"MCCB, ACB, MCB, Contactor, Starter, Switch, Control Device, Auxiliary Device",IP2 X,IS/IEC 60947-1
74,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"MCCB, ACB, MCB, Contactor, Starter, Switch, Control Device, Auxiliary Device",IP3 X,IS/IEC 60947-1
75,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Plug & Socket,Resistance to Heat Fire andtracking,IS/IEC 60309-1 & 2
76,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Plug, Socket- Outlets and Couplers",Insulation Resistance and Dielectric strength,IEC 60309-1&2 Cl. 19
77,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Plug, Socket- Outlets and Couplers",Insulation resistance anddielectric strength,IS/IEC 60309-1&2 Cl. 19
78,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Plug, Socket- Outlets and Couplers",Temperature rise test,IEC 60309-1&2 Cl. 22
79,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Plug, Socket- Outlets and Couplers",Temperature rise test,IS/IEC 60309-1&2 Cl. 22
80,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch Disconnector and Fuse Combination Unit",Dielectric Properties,IS/IEC 60947-3 Cl. 8.3.3.2
81,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch Disconnector and Fuse Combination Unit",Dielectric Verication,"IS/IEC 60947-3 (Cl. 8.3.3.4),(Cl.8.3.4.2),(Cl. 8.3.5.3),(Cl.8.3.6.3)(Cl 8.3.7.2)"
