0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace series Elements of Electrical and Optical Connection,Fluid Resistance,EN 2591-315:2015
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical , Electronics And Mechanical Components",Driving Rain,JSS 0256-01:1992 (Revision No.1) : Test No. 7 (Withdrawn)
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical , Electronics And Mechanical Components",Drop Test,JSS 0256-01:1992 (Revision No.(Withdrawn) 1) : Test Number 24
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical , Electronics And Mechanical Components",Tropical Exposure,JSS 0256-01:1992 (Revision No.1) : Test Number 4(Withdrawn)
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronics and Mechanical Components",Thermal /Temperature Cycling Test,IS 9000:1988 (Part 15 Sec I &Sec II): (Withdrawn)
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronics and mechanical components",Thermal Shock / Rapid changeof temperature with prescribedtime of transfer,IS 9000:1988 (Part 15 Sec I &Sec II): (Withdrawn)
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electronics/Electrical/ Telecom/ Automotive/ Defence/Military/ Aerospace/Locomotive Including Sub-Assemblies Accessories and Components.,Stress screening test,EN 50155: 2017 Method 13.4.13 Withdrawn
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electronics/Electrical/ Telecom/Automotive/Defence/Military/ Aerospace/Locomotive Including Sub-Assemblies Accessories and Components.,CONTAMINATION,JSS 55555 :2020 (Fourth Revision) TEST NUMBER 6
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electronics/Electrical/ Telecom/Automotive/Defence/Military/ Aerospace/Locomotive Including Sub-Assemblies Accessories and Components.,CONTAMINATION,JSS 55555: 2012 Revision No. 3 TEST NUMBER 6 (Withdrawn)
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electronics/Electrical/Telecom/Automotive/Defence/Military/Aerospace/Locomotive Including Sub-Assemblies Accessories and Components.,CONTAMINATION,JSS 55555 : 2000 Revision No.2 Test No.6 (Withdrawn)
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Connectors, Low Frequency, Multicontact",Resistance to contaminatinguids:,"JSS 50800: 1999 Revision No. 1, Test Number 13.41(Withdrawn)"
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Dust Ingress Protection (Enclosures of Electrical and Electronics Equipment's),"IP1 X, IP2 X, IP3 X, IP4 X, IP5 X,IP6 X, IP5 K, IP6 K",ISO 20653:2013 Withdrawn
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Dust Ingress Protection (Enclosures of Electrical and Electronics Equipments),"IP1 X, IP2 X, IP3 X, IP4 X, IP5 X,IP6 X, IP5 K, IP6 K",IEC 60529:2013
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical , Electronics And Mechanical Components",Altitude Test,JSS 0256-01:2008 (Revision No.2) Test Number 3
