0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Chemical uids,ISO 8092-2 / CL 4.23
2,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Chemical uids test,JASO D616 / CL 6.26
3,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Salt spray,ISO 8092-2 / CL 4.16 ISO9227
4,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Salt spray test,JASO D616 / CL 6.20
5,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Salt water freezing cycletest,JASO D616 / CL 6.29
6,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Ammonia Resistance,"BCPL-C101/CL 6.16 (Issueno. 2, Issue Date:10.01.2025)"
7,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Fluid Resistance,SAE /USCAR-2/ CL 5.6.4
8,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Oil Resistance Test,"BCPL-C101/CL 6.15 (Issueno. 2, Issue Date:10.01.2025)"
9,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Ozone Resistance Test,"BCPL-C101/CL 6.11 (Issueno. 2, Issue Date:10.01.2025)"
10,CHEMICAL-CORROSION TESTS,Automotive connectors and terminals,Salt spray test,"BCPL-C101/CL 6.6 (Issueno. 2, Issue Date:10.01.2025)"
11,CHEMICAL-CORROSION TESTS,Others - Automotive connectors and terminals,Chemical Resistance Test,"BCPL-C101/CL 6.12(Issueno. 2, Issue Date:10.01.2025)"
70,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Connector to connectorattachment force,"BCPL-C101/CL 4.6 (Issueno.2, Issue Date:10.01.2025)"
71,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Dual Locking Mechanism,"BCPL-C101/CL 4.21(Issueno. 2, Issue Date:10.01.2025)"
72,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Housing to Housing Insertion Force,"BCPL-C101/CL 4.4 (Issueno.2, Issue Date:10.01.2025)"
73,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Inserting and Separatingforce of retainer / rearholder (Separating forceof rear holder),"BCPL-C101/CL 4.20 (Issueno. 2, Issue Date:10.01.2025)"
74,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Inserting and Separatingforce of retainer/ rearholder (separating forceof retainer),"BCPL-C101/CL 4.20 (Issueno. 2, Issue Date:10.01.2025)"
75,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Terminal to terminal Insertion Force,"BCPL-C101/CL 4.3 (Issueno.2, Issue Date:10.01.2025)"
76,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive components and connectors,Terminal to Terminal Engage/Disengage Force,SAE/USCAR-2 / CL 5.2.1
77,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Connector coding andpolarization,ISO 8092-2 /CL 4.15
78,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive connectors and terminals,Polarization Feature Eectiveness,SAE/USCAR -2 /CL 5.4.4
