0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI / EMCTEST FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Conducted Emission Test (CE),CISPR-14-1
2,ELECTRICAL- EMI / EMCTEST FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",EFT Immunity Test,IS14700 Part 4: Sec 4; IEC61000-4-4
3,ELECTRICAL- EMI / EMCTEST FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Electrostatic Discharge Test(ESD),IS 14700 Part 4: Sec 2; IEC61000-4-2
4,ELECTRICAL- EMI / EMCTEST FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Surge Test,IS 14700 Part-4: Sec-5; IEC61000-4-5
5,ELECTRICAL- EMI / EMCTEST FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies","Voltage dips, Shortinterruptions and Voltagevariations.",IS 14700 Part 4 : Sec 11; IEC61000-4-11
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration & AC Products, components and Subassemblies like Electrical Enclosures/ Panels",Water Ingress Protection Test (IP Code),"IS/IEC60529 : (Cl: 14.2.3, Cl:14.2.4, Cl: 14.2.5)"
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Cold Test,IS/IEC 60068 : Part 2: Sec 1;IEC 60068-2-1
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Damp Heat Test ( Steady State),IEC 60068-2-78
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Damp Heat Test (Cyclic),IS9000: Part 5: Sec 1
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Dry Heat Test,IS9000: Part 3: Sec 3 &5
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Environmental Test -Impact Test,IEC 60068-2-75
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Fire Hazard- Needle Flame Test,IS11000: Part 2: Sec 2;IEC60695-11-5
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Fire Hazard Test: Abnormal Heat: Ball Pressure Test,IS/IEC6095: Part 10: Sec 2
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Jointed Finger (IP2 X) Test for Protection of persons againstaccess to hazardous parts,IS/IEC 60529 (Cl: 5)
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Salt Spray Test @35 C 2 C;5% NACL solution,IS 9000: Part 11; IS 9844
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Refrigeration, AC, Water and air purication Product-Components, Electrical & Electronics Sub assemblies",Fire Hazard Test- Glow Wire Test:,IS11000: Part 2: Sec 1; IEC60695-2-10
17,ELECTRICAL- SAFETYTESTING FACILITY,Finned Type heat exchanger for room air conditioner,Burst Pressure Test,IS 11329 (Cl: 7.3.1)
18,ELECTRICAL- SAFETYTESTING FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Electric Strength Test,"IS 302- 1 (Cl:13.3, 16.3 & 23.5)"
19,ELECTRICAL- SAFETYTESTING FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Leakage Current at Operating Temperature,IS 302-1 (Cl: 13.2)
20,ELECTRICAL- SAFETYTESTING FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Leakage Current test,IS 302-1 (Cl:16.2)
21,ELECTRICAL- SAFETYTESTING FACILITY,"Refrigeration, AC, Water and air purication Product-Components & Electronics Sub assemblies",Provision for Earthing,IS 302-1 (Cl: 27.5)
