0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Adhesion Test,IS 3975
2,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,"After ageing, Elongation %break","IS 7098 (Part 1, Clause 15.1(d)i, 15.1(e)i), IS 10810(Part 11)"
3,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,"After ageing, Tensile Strength","IS 7098 (Part 1, Clause 15.1(d)i, 15.1(e)i), IS 10810(Part 11)"
4,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Annealing test for wires used inconductors,"IS 7098 (Part 1, Clause 15.1(a)-i), IS 10810 (Part 1)"
5,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Cold bend test,"IS 7098 (Part 1, Clause 15.4(a)), IS 10810 (Part 20)"
6,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Cold impact test,"IS 7098 (Part 1, Clause 15.4(b)), IS 10810 (Part 21)"
7,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Conductor Resistance test,"IS 7098 (Part 1, Clause 15.1(a)-iv), IS 10810 (Part 5)"
8,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Dimensions of Armouring Material,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 36)"
9,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Elongation % Break of Insulation and Sheath,"IS 7098 (Part 1, Clause 15.1(d)i, 15.1(e)i), IS 10810(Part 7 & 11)"
10,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Flammability Test,"IS 7098 (Part 1, Clause 16.3),IS 10810 (Part 53)"
11,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Heat shock test,"IS 7098 (Part 1, Clause 15.1(e)-vi), IS 10810 (Part 14)"
12,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,High Voltage test,"IS 7098 (Part 1,Clause 16.2), IS10810 (Part 45)"
13,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Hot deformation test,"IS 7098 (Part 1, Clause 15.1(e)v), IS 10810 (Part 15)"
14,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Hot Set Test,"IS 7098 (Part 1, Clause 4.1,Table-1), IS 10810 (Part 30)"
15,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Insulation Resistance (Volume Resistivity),"IS 7098 (Part 1, Clause 4.1,Table-1), IS 10810 (Part 43)"
16,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Loss of mass test,"IS 7098 (Part 1, Clause 15.1(e)iii), IS 10810 (Part 10)"
17,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Mass of Zinc Coating,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 41)"
18,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Shrinkage test,"IS 7098 (Part 1, Clause 15.1(d)iv, 15.1(e) iv), IS 10810 (Part 12)"
19,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Tensile strength of insulationand sheath,"IS 7098 (Part 1, Clause 15.1(d)i ,15.1(e) i), IS 10810 (Part 7 &11)"
20,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Tensile strength test for Aluminium Wire,"IS 7098 (Part 1, Clause 15.1(a)ii), IS 10810 (Part 2)"
21,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Tensile strength test for Armour Wire,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 37)"
22,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Thermal stability of PVCinsulation and sheath,"IS 7098 (Part 1, Clause 15.1(e)vii), IS 10810 (Part 60)"
23,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Thickness of Insulation&Sheath/ Overall Dimensions,"IS 7098 (Part 1, Clause 9.2,9.3, 14.3.1 & 14.3.2), IS 10810(Part 6)"
24,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Torsion Test,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 38)"
25,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Uniformity of Zinc Coating,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 40)"
26,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Water Absorption Test(Gravimetric),"IS 7098 (Part 1, Clause 4.1,Table-1), IS 10810 (Part 33)"
27,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Winding test on Galvanizedsteel strip for Armouring,"IS 7098 (Part 1, Clause 15.1(b)), IS 10810 (Part 39)"
28,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated PVC Sheathed Cablesfor Working Voltages up to and including 1100 Volts.,Wrapping test (for aluminum),"IS 7098 (Part 1, Clause 15.1(a)iii), IS 10810 (Part 3)"
29,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Clearity and durability test,BS EN 50396
30,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Conductor resistance test,BS EN 60228
31,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Elongation % Break (After Ageing),BS EN 60811-1-2
32,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Elongation % break ofinsulation and sheath,EN 60811-1-1
33,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Flame propagation on a singlecable,BS EN 60332-1-2
34,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Hot set test,EN 60811-2-1
35,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Insulation Resistance,BS EN 50395
36,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Mean Overall dimensions,BS EN 50396
37,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Ovality,BS EN 50396
38,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Pressure test at hightemperature,BS EN 60811-3-1
39,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Shrinkage test,BS EN 60811-502
40,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Tensile Strength (After Ageing),BSEN 60811-1-2
41,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Tensile Strength of insulationand sheath,EN 60811-1-1
42,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Thickness of Insulation andsheath,BS EN50396
43,ELECTRICAL- CABLES &WIRES,Electric cables. Thermosetting insulated and thermoplasticsheathed cables for voltages up to and including 450/750 Vfor electric power and lighting and having low emission ofsmoke and corrosive gases when aected by re.,Voltage test on completedcable,BS EN 50395
44,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re",Insulation Resistance Constant,BS 6469-99.2
45,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Abrasion resistance,BS EN 60229
46,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Conductivity test,BS EN 60754-2
47,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Conductor resistance test,BS EN 60228
48,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Elongation % Break,BS EN 60811-1-1
49,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Elongation % break (After Ageing),BS EN 60811-1-1
50,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Flame propagation on a singlecable,BS EN 60332-1-2
51,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Hot Set Test,BSEN 60811-2-1
52,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Impact test at low temperature,BS EN 60811-1.4
53,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Insulation resistance constanttest on over sheath,"BS 6724, Clause- 18.7"
54,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Mass of Zinc coating ofgalvanised steel wire,"BS 6724, Table -1"
55,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",measurement of diameter ofround wire armour,"BS 6724, Clause 10.3"
56,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Ovality test,BS 6724
57,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",p H test,BS EN 60754-2
58,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Pressure test at hightemperature,BS EN 60811-3-1
59,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Resistance of armour,BS 6724
60,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Shrinkage test,BS EN 60811-502
61,ELECTRICAL- CABLES &WIRES,"Electric cables. Thermosetting insulated, armoured cablesof rated voltages of 600/1000 V and 1900/3300 V for xedinstallations, having low emission of smoke and corrosivegases when aected by re.",Tensile strength (After ageing),BS EN 60811-1-1
