0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Direction of Rotation,IS 12225:1997/ IS 9079:2018/IS 14582
2,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Earthing,IS 12225:1997/ IS 9079:2018/IS 14582
3,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),High Voltage test,IS 12225:1997/ IS 9079:2018/IS 14582
4,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Insulation Resistance test (bothbefore & after High voltagetest),IS 12225:1997/ IS 9079:2018/IS 14582
5,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Locked Rotor test- Current,IS 12225:1997/ IS 9079:2018/IS 14582
6,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Locked Rotor test- Power input,IS 12225:1997/ IS 9079:2018/IS 14582
7,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Locked Rotor test- Torque,IS 12225:1997/ IS 9079:2018/IS 14582
8,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Locked Rotor test- Voltage,IS 12225:1997/ IS 9079:2018/IS 14582
9,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Marking/Rating Plate,IS 12225:1997/ IS 9079:2018/IS 14582
10,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Measurement of Stator Resistance (Winding Resistance),IS 12225:1997/ IS 9079:2018/IS 14582
11,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),No-Load Running test- Current,IS 12225:1997/ IS 9079:2018/IS 14582
12,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),No-Load Running test-Frequency,IS 12225:1997/ IS 9079:2018/IS 14582
13,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),No-Load Running test- Powerinput,IS 12225:1997/ IS 9079:2018/IS 14582
14,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),No-Load Running test- Speed,IS 12225:1997/ IS 9079:2018/IS 14582
15,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),No-Load Running test- Voltage,IS 12225:1997/ IS 9079:2018/IS 14582
16,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Reduced Voltage running test-Frequency,IS 12225:1997/ IS 9079:2018/IS 14582
17,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Reduced Voltage running test-Speed,IS 12225:1997/ IS 9079:2018/IS 14582
18,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Reduced Voltage running test-Voltage,IS 12225:1997/ IS 9079:2018/IS 14582
19,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Temperature rise test-Temperature,IS 12225:1997/ IS 9079:2018/IS 14582
20,ELECTRICAL- ROTATINGELECTRICAL MACHINES,CENTRIFUGAL JET PUMP (upto 2.2k W),Terminal Markings,IS 12225:1997/ IS 9079:2018/IS 14582
21,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Design Features,IS 8472:2019/ IS 14582
22,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Direction of Rotation,IS 8472:2019/ IS 14582
23,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Earthing,IS 8472:2019/ IS 14582
24,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Current,IS 8472:2019/ IS 14582
25,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Frequency,IS 8472:2019/ IS 14582
26,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Power input,IS 8472:2019/ IS 14582
27,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Speed,IS 8472:2019/ IS 14582
28,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Torque,IS 8472:2019/ IS 14582
29,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Full Load test- Voltage,IS 8472:2019/ IS 14582
30,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",High Voltage test,IS 8472:2019/ IS 14582
31,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Insulation Resistance test (bothbefore & after High voltagetest),IS 8472:2019/ IS 14582
32,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Locked Rotor test- Current,IS 8472:2019/ IS 14582
33,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Locked Rotor test- Power input,IS 8472:2019/ IS 14582
34,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Locked Rotor test- Torque,IS 8472:2019/ IS 14582
35,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Locked Rotor test- Voltage,IS 8472:2019/ IS 14582
36,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Marking/Rating Plate,IS 8472:2019/ IS 14582
37,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Measurement of Stator Resistance (Winding Resistance),IS 8472:2019/ IS 14582
38,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",No-Load Running test- Current,IS 8472:2019/ IS 14582
39,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",No-Load Running test-Frequency,IS 8472:2019/ IS 14582
40,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",No-Load Running test- Powerinput,IS 8472:2019/ IS 14582
41,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",No-Load Running test- Speed,IS 8472:2019/ IS 14582
42,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",No-Load Running test- Voltage,IS 8472:2019/ IS 14582
43,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Pull-up -Torque test - Torque,IS 8472:2019/ IS 14582
44,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Pull-up -Torque test-Voltage,IS 8472:2019/ IS 14582
45,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Temperature rise test-Temperature,IS 8472:2019/ IS 14582
46,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"CENTRIFUGAL REGENERATIVE PUMPS FOR CLEAR, COLDWATER (upto 2.2k W)",Terminal Marking,IS 8472:2019/ IS 14582
47,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"HORIZONTAL CENTRIFUGAL PUMPS FOR CLEAR, COLDWATER (upto 15k W)",Direction of Rotation,IS 6595 (Part 1)
48,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"HORIZONTAL CENTRIFUGAL PUMPS FOR CLEAR, COLDWATER (upto 15k W)",Marking/Rating Plate,IS 6595 (Part 1)
49,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"HORIZONTAL CENTRIFUGAL PUMPS FOR CLEAR, COLDWATER (upto 15k W)",Noise Level test,IS 6595 (Part 1)
50,ELECTRICAL- ROTATINGELECTRICAL MACHINES,"HORIZONTAL CENTRIFUGAL PUMPS FOR CLEAR, COLDWATER (upto 15k W)",Vibration Test,IS 6595 (Part 1)
51,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Dimensions test- Dia,IS 12615
52,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Dimensions test- Height,IS 12615
53,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Dimensions test- Linear,IS 12615
54,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Direction of Rotation.,IS 12615
55,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Earthing,IS 12615
56,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Current,IS 12615
57,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Frequency,IS 12615
58,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Power Input,IS 12615
59,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Speed,IS 12615
60,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Torque,IS 12615
61,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Full Load Test - Voltage,IS 12615
62,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),High Voltage test,IS 12615
63,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Insulation Resistance test (bothbefore & after High voltagetest),IS 12615
64,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Locked Rotor test- Current,IS 12615
65,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Locked Rotor test- Power input,IS 12615
66,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Locked Rotor test- Torque,IS 12615
67,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Locked Rotor test- Voltage,IS 12615
68,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Marking/Rating Plate,IS 12615
69,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Measurement of Stator Resistance (Winding Resistance),IS 12615
70,ELECTRICAL- ROTATINGELECTRICAL MACHINES,LINE OPERATED THREE PHASE a.c. MOTORS (IE CODE)EFFICIENCY CLASSES AND PERFORMANCE SPECIFICATION(upto 15k W),Method of Cooling,IS 12615
