0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),AC High Voltage,IS 13779
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),AC High Voltage,IS 16444 (Part-1)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Insulation Test,IS 16444 (Part-1)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Insulation Test,IS:13779
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test for Power Consumption,IS 13779
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test for Power Consumption,IS 16444 (Part-1)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Meter Constant,IS 13779
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Meter Constant,IS 16444 (Part-1)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of No-Load Condition,IS 13779
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Repeatability of Error,IS 13779
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Repeatability of Error,IS 16444 (Part-1)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Starting Condition,IS 13779
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of Starting Condition,IS 16444 (Part-1)
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test on Limits of Error,IS 13779
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test on Limits of Error,IS 16444 (Part-1)
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A C Static Watthour Meter (Class 1 & 2),Test of No-Load Condition,IS 16444 (Part-1)
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C Static Transformer Operated Watthour and VAR-Hour Meters(Class 0.2 S, 0.5 S & 1 S)",AC High Voltage,IS 14697
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C Static Transformer Operated Watthour and VAR-Hour Meters(Class 0.2 S, 0.5 S & 1 S)",Insulation Test,IS 14697
