0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Yellow Gold,Determination of Gold Content (by Fire Assay Method),IS 1418 (Clause 9.1)
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Thickness of Insulation,"IS 14255 (Clause 10.1), IS10810 (Part 6)"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Ageing in Air Oven,"IS 14255 (Clause 10.1), IS10810 (Part 11)"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Application of Insulation,"IS 14255 (Clause 7.1, 7.4)"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Assembly (Laying up),IS 14255 (Clause 9)
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Color,IS 14255 (Clause 7.5)
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Conductor,IS 14255 (Clause 6)
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Core Identication,IS 14255 (Clause 8)
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Elongation at Break for Insulation,"IS 14255 (Clause 10.1), IS10810 (Part 7)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,High Voltage Test,IS 14255 (Clause 11.2)
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Identication,IS 14255 (Clause 12)
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Insulation,IS 14255 (Clause 5)
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Joint in Conductors,IS 14255 (Clause 6.6)
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Numbers of Wires,IS 14255 (Clause 6)
15,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Resistance Test,"IS 14255 (Clause 10.1), IS10810 (Part 5)"
16,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Tensile Strength for Insulation,"IS 14255 (Clause 10.1), IS10810 (Part 7)"
17,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Tensile Test for Aluminum,"IS 14255 (Clause 10.1), IS10810 (Part 2)"
18,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Volume Resistivity,"IS 14255 (Clause 10.1), IS10810 (Part 43)"
19,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable for Working Voltage up toand Including 1100 Volts,Wrapping Test for Aluminium,"IS 14255 (Clause 10.1), IS10810 (Part 3)"
