0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- BUILDINGMATERIAL,Composite Cement,Insoluble Residue,IS 4032
2,CHEMICAL- BUILDINGMATERIAL,Composite Cement,Loss on Ignition,IS 4032
3,CHEMICAL- BUILDINGMATERIAL,Composite Cement,Sulphuric Anhydride,IS 4032
4,CHEMICAL- BUILDINGMATERIAL,Ordinary portland cement,Insoluble Residue,IS 4032
5,CHEMICAL- BUILDINGMATERIAL,Ordinary portland cement,Loss on Ignition,IS 4032
6,CHEMICAL- BUILDINGMATERIAL,Ordinary portland cement,Sulphuric Anhydride,IS 4032
7,CHEMICAL- BUILDINGMATERIAL,Portland Pozzolana Cement,Insoluble Residue,IS 4032
8,CHEMICAL- BUILDINGMATERIAL,Portland Pozzolana Cement,Loss on Ignition,IS 4032
9,CHEMICAL- BUILDINGMATERIAL,Portland Pozzolana Cement,Sulphuric Anhydride,IS 4032
10,CHEMICAL- BUILDINGMATERIAL,Portland Slag Cement,Insoluble Residue,IS 4032
11,CHEMICAL- BUILDINGMATERIAL,Portland Slag Cement,Loss on Ignition,IS 4032
12,CHEMICAL- BUILDINGMATERIAL,Portland Slag Cement,Sulphuric Anhydride,IS 4032
13,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Biscuits,Acid Insoluble Ash,IS 1011
14,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Biscuits,Moisture Content,IS 1011
15,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Skimmed/ Evaporated/ Dried Milk Powder,Moisture in Skimmed Milk Powder,IS 16072
16,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Skimmed/ Evaporated/ Dried Milk Powder,Total Ash in Skimmed Milk Powder,IS 14433
17,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Whole Milk Powder,Moisture,IS 16072
18,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Whole Milk Powder,Total Ash,IS 1165
19,CHEMICAL- WATER,Packaged Drinking Water,Alkalinity,IS 3025 (Part 23)
20,CHEMICAL- WATER,Packaged Drinking Water,Calcium (Ca),IS 3025 (Part 65)
21,CHEMICAL- WATER,Packaged Drinking Water,Chloride,IS 3025 (Part 32)
22,CHEMICAL- WATER,Packaged Drinking Water,Iron (Fe),IS 3025 (Part 65)
23,CHEMICAL- WATER,Packaged Drinking Water,Magnesium (Mg),IS 3025 (Part 65)
24,CHEMICAL- WATER,Packaged Drinking Water,Odour,IS 3025 (Part 5)
25,CHEMICAL- WATER,Packaged Drinking Water,p H,IS 3025 (Part 11)
26,CHEMICAL- WATER,Packaged Drinking Water,Sodium (Na),IS 3025 (Part 65)
27,CHEMICAL- WATER,Packaged Drinking Water,Taste,IS 3025 (Part 8)
28,CHEMICAL- WATER,Packaged Drinking Water,Total dissolved solids,IS 3025 (Part 16)
51,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self - Ballasted LED Lamps for General Lighting Services,"Bending Moment, Axial Pull and Mass",IS 16102 (Part 1)
52,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Self - Ballasted LED Lamps for General Lighting Services,Cap Interchangeability,IS 16102 (Part 1)
