0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Skimmed Milk Powder,Bacterial Count,IS 5402
2,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Skimmed Milk Powder,E coli,IS 5887 Pt 1
3,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Skimmed Milk Powder,Listeria monocytogenes,IS 14988 Pt 1
4,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Skimmed Milk Powder,Salmonella,IS 5887 Pt 3
5,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Whole Milk Powder,E coli,IS 5887 Pt 1
6,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Whole Milk Powder,Listeria monocytogenes,IS 14988 Pt 1
7,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,Whole Milk Powder,Salmonella,IS 5887 Pt 3
8,BIOLOGICAL- WATER,Packaged Drinking Water,Aerobic microbial count @20 to 22 degree C,IS 5402
9,BIOLOGICAL- WATER,Packaged Drinking Water,Aerobic microbial count @37 degree C,IS 5402
10,BIOLOGICAL- WATER,Packaged Drinking Water,Coliform,IS 15185
11,BIOLOGICAL- WATER,Packaged Drinking Water,E Coli,IS 15185
12,BIOLOGICAL- WATER,Packaged Drinking Water,Faecal streptococci,IS 15186
13,BIOLOGICAL- WATER,Packaged Drinking Water,Pseudomonas aeruginosa,IS 13428
14,BIOLOGICAL- WATER,Packaged Drinking Water,Salmonella,IS 15187
15,BIOLOGICAL- WATER,Packaged Drinking Water,Shigella,IS 5887 Pt 7
16,BIOLOGICAL- WATER,Packaged Drinking Water,Staphyloccus aureus,IS 5887 Pt 2
17,BIOLOGICAL- WATER,Packaged Drinking Water,Sulphite reducinganaerobe,IS 13428
18,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio cholerae,IS 5887 Pt 5
19,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio parahemolyticus,IS 5887 Pt 5
20,BIOLOGICAL- WATER,Packaged Drinking Water,Yeast and Mold Count,IS 5403
21,CHEMICAL- METALS &ALLOYS,Gold samples,Fire Assay for purity of Gold,IS 1418
22,ELECTRICAL- CABLES& WIRES,"PVC Insulated cables for working voltage upto &including 1100 V , Heavy Duty cable Size: Upto 35mm 2 & Shot Firing Cable (Used other than Shaft)",Thickness of Insulation &Sheath,IS 10810 (Pt.-6)
23,ELECTRICAL- CABLES& WIRES,"PVC Insulated cables for working voltage upto &including 1100 V , Heavy Duty cable Size: Upto 35mm 2 & Shot Firing Cable (Used other than Shaft)",Thickness of Insulation &Sheath,IS 10810 (Pt.-6)
24,ELECTRICAL- CABLES& WIRES,"PVC Insulated cables for working voltage upto &including 1100 V , Heavy Duty cable Size: Upto 35mm 2 & Shot Firing Cable (Used other than Shaft)",Flammability Test,IS 10810 (Pt.-53)
25,ELECTRICAL- CABLES& WIRES,"PVC Insulated cables for working voltage upto &including 1100 V , Heavy Duty cable Size: Upto 35mm 2 & Shot Firing Cable (Used other than Shaft)",Heat Shock Test,IS 10810(Pt.-14)
