0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL- WATER,Packaged Drinking Water,Coliforms,IS 15185
2,BIOLOGICAL- WATER,Packaged Drinking Water,Escherichia coli,IS 15185
3,BIOLOGICAL- WATER,Packaged Drinking water,Faecal Streptococci,IS 15186
4,BIOLOGICAL- WATER,Packaged Drinking Water,Pseudomonas aeruginosa,IS 13428 (Annex D)
5,BIOLOGICAL- WATER,Packaged Drinking water,Salmonella,IS 15187
6,BIOLOGICAL- WATER,Packaged Drinking Water,Shigella,IS 5887 (Part 7)
7,BIOLOGICAL- WATER,Packaged Drinking Water,Staphylococcus aureus,IS 5887 (Part 2)
8,BIOLOGICAL- WATER,Packaged Drinking Water,Sulphite Reducinganaerobes,IS 13428 (Annex C)
9,BIOLOGICAL- WATER,Packaged Drinking Water,Total viable colony count@20-22 degree celsiusper ml in 72 hrs,IS 5402
10,BIOLOGICAL- WATER,Packaged Drinking Water,Total viable colony count@37 1degree celsiusper ml in 24 hrs,IS 5402
11,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio cholerae,IS 5887 (Part 5)
12,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio parahaemolyticus,IS 5887 (Part 5)
13,BIOLOGICAL- WATER,Packaged Drinking Water,Yeast and Moulds,IS 5403
14,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, Portland Pozzolana Cement - Calcined clay based, Portland Pozzolana Cement - Fly ash based, Portland Slag Cement,Masonry Cement.",Alkali Content as Sodiumoxide (Na 2 O + 0.658 K2 O),IS 12813
15,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement &Sulphate resisting portland Cement",Alumina (Al 2 O3),IS 4032
16,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement &Sulphate resisting portland Cement",Calcium Oxide (Ca O),IS 4032
17,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement &Sulphate resisting portland Cement",Ferric Oxide (Fe 2 O3),IS 4032
18,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement &Sulphate resisting portland Cement",Silica (Si O2),IS 4032
19,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement,Portland Pozzolana Cement - Calcined clay based,Portland Pozzolana Cement - Fly ash based,Portland Slag Cement, Sulphate resisting portland Cement.",Chloride content,IS 4032
20,CHEMICAL- BUILDINGMATERIAL,"Ordinary Portland Cement - OPC 33, OPC 43, OPC43 S, OPC 53, OPC 53 S, White Portland Cement,Portland Pozzolana Cement - Calcined clay based,Portland Pozzolana Cement - Fly ash based,Portland Slag Cement, Sulphate resisting portland Cement.",Insoluble residue,IS 4032
