0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 1) Cadmium (Cd),IEC 62321-4
2,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 1) Cadmium (Cd),IEC 62321-5
3,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 1) Cadmium (Cd),IEC 62321-7-1
4,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 1) Cadmium (Cd),IEC 62321-7-2
5,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 2) Lead (Pb),BS EN 62321-1
6,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 2) Lead (Pb),BS EN 62321-2
7,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 2) Lead (Pb),BS EN 62321-3-1
8,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 3) Mercury (Hg),IEC 62321-4
9,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 3) Mercury (Hg),IEC 62321-5
10,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 3) Mercury (Hg),IEC 62321-7-1
11,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 3) Mercury (Hg),IEC 62321-7-2
12,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 4) chromium(Cr),IEC 62321-4
13,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 4) chromium(Cr),IEC 62321-5
14,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 4) chromium(Cr),IEC 62321-7-1
15,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 4) chromium(Cr),IEC 62321-7-2
16,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 5) Bromine (Br),IEC 62321-4
17,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 5) Bromine (Br),IEC 62321-5
18,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 5) Bromine (Br),IEC 62321-7-1
19,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Coating,Determination of certainsubstances in electrotechnicalproducts 5) Bromine (Br),IEC 62321-7-2
