0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicle and Electronic Sub Assembly(ESA),Electrical Fast Transient(EFT) / Burst Immunity Test (Power Line) (Clause No.7.8),ECE R-10 Rev.06
2,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicle and Electronic Sub Assembly(ESA),Surge Test (Clause No.7.9),ECE R-10 Rev.06
3,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicle and Electronic Sub Assembly(ESA),Conducted Emissions Test(Clause No.7.5),ECE R-10 Rev.06
4,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicles & ESA power line products,Conducted Emissions Test(Clause No.6.5),AIS-004 (Part 3)(Rev.1)/DF
5,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicles & ESA power line products,Electrical Fast Transient(EFT) / Burst Immunity Test (Power Line) (Clause No.6.8),AIS-004 (Part 3)(Rev.1)/DF
6,ELECTRICAL- EMI /EMC TEST FACILITY,Automotive Vehicles & ESA power line products,Surge Test (Clause No.6.9),AIS-004 (Part 3)(Rev.1)/DF
7,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system,Electrostatic Discharge Immunity test. (Clause no 5),IS 17017 (Part 21/sec 2)
8,ELECTRICAL- EMI /EMC TEST FACILITY,Electric Vehicle Conductive charging system,Surge Test (Clause no 5),IS 17017 (Part 21/sec 2)
9,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-1 Electric vehicle on-board charger EMCrequirements for conductive connection to AC/DCsupply,Conducted Emissions Test(Clause No.5.3.4),IEC 61851-21-1 Edn.1.0
10,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-1 Electric vehicle on-board charger EMCrequirements for conductive connection to AC/DCsupply,Electrical Fast Transient(EFT) / Burst Immunity Test (Power Line) (Clause No.5.2.4),IEC 61851-21-1 Edn.1.0
11,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-1 Electric vehicle on-board charger EMCrequirements for conductive connection to AC/DCsupply,Surge Test (Clause No.5.2.5),IEC 61851-21-1 Edn.1.0
12,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-2: Electric vehicle requirements for conductiveconnection to an AC/DC supply - EMCrequirements for o board electric vehiclecharging systems,Conducted Emissions Test(Clause No.6.1.2.2),IEC 61851-21-2 Edn.1.0
13,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-2: Electric vehicle requirements for conductiveconnection to an AC/DC supply - EMCrequirements for o board electric vehiclecharging systems,Electrical Fast Transient(EFT) / Burst Immunity Test (Power Line) (Clause No.5),"IEC 61851-21-2, Edn.1.0"
14,ELECTRICAL- EMI /EMC TEST FACILITY,Electric vehicle conductive charging system - Part 21-2: Electric vehicle requirements for conductiveconnection to an AC/DC supply - EMCrequirements for o board electric vehiclecharging systems,Electrostatic Discharge Immunity Test (Clause No.5),"IEC 61851-21-2, Edn.1.0"
