0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),a.c. High Voltage Test,IS 16444 (Part 1)(Cl.6.10.6)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Insulation Test,IS 16444 (Part 1)(Cl.6.10.6)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Limits of Error,IS 16444 (Part 1) (Cl.6.12)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Meter Constant,IS 16444 (Part 1) (Cl.6.12)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Power Consumption,IS 16444 (Part 1)(Cl.6.10.1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Repeatability of Error,IS 16444 (Part 1) (Cl.6.12)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Test of No-Load Condition,IS 16444 (Part 1) (Cl.6.12)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter (Class 1 and 2),Test of Starting Condition,IS 16444 (Part 1) (Cl.6.12)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1.0 S)",a.c. High Voltage Test,IS 14697 (Cl.12.7.6.3)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1.0 S)",Limits of Error,IS 14697 (Cl.11.1)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1.0 S)",Meter Constant,IS 14697 (Cl.12.14)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1.0 S)",Power Consumption,IS 14697 (Cl.9.1.1 &Cl.9.1.2)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1.0 S)",Repeatability of Error,IS 14697 (Cl.12.16)
