0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers , 5 k VA to 2500 k VA, Up to 33 k Vclass",Measurement of No load lossand current,IS 1180 (Part I) :Clause 21.2 d
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers , 5 k VA to 2500 k VA, Up to 33 k Vclass",Measurement of Voltage ratioand check of phasedisplacement (vector group),"IS 1180 (Part 1) : Clause 21.2b, 6.5, 6.6. 7.5, 7.6, 8.5, 8.6"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers , 5 k VA to 2500 k VA, Up to 33 k Vclass",Measurement of Voltage ratioand check of phasedisplacement,"IS 1180 (Part 1) :Clause 21.2 b,6.5, 6.6. 7.5, 7.6, 8.5, 8.6"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers 5 k VA to 2500 k VA , 33 k V class",Separate source voltagewithstand test,"IS 1180 (Part I), Clause 21.2 g"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution / Power Transformers 5 k VA to 10 MVA, upto 33k V class",Measurement of Short circuitimpedance and load loss,IS 2026 Part I :Cl 10.1.1 (c) &10.4
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution / Power Transformers 5 k VA to 10 MVA, upto 33k V class",Measurement of Short circuitimpedance and load loss,"IEC60076(Part 1), Cl no 11.1.2.1(c) &11.4"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution / Power Transformers 5 k VA to 10 MVA, upto 33k V class",Measurement of Voltage Ratioand check of phasedisplacement (Voltage Ratio),IS 2026(Part-I) : Clause 10.1.1(b) & 10.3
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Air Pressure Test / Vacuum,"CBIP Manual Section A,publication no 317, Cl no 17.3& 17.3.1, 17.3.2,17.3.3"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Dielectric Routine test (IVW),"IEC 60076 Part-1, Cl no 11.1.2.1 (e)"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Dielectric Routine Tests (AV),"IEC 60076-Part 1, Cl no 11.1.2.1( e )"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Induced Voltage Withstand test,"IEC 60076 Part-3,Cl no 11.1 &11.2"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Magnetic Balance Test,"CBIP publication no 317,Section BB, Cl no. 3.17"
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution / Power Transformers 5 k VA to 10 MVAupto 33k V class,Measurement of Magnetizing Current at Low Voltage,"CBIP publication no 317,Section BB, Cl no. 3.23"
