0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Antimony (Sb),BS EN 15079
2,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Arsenic (As),BS EN 15079
3,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Copper (Cu) %,IS 440
4,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Determination of thickness Surface Oxide on copper Rods,ASTM B49
5,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Iron (Fe),BS EN 15079
6,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Lead (Pb),BS EN 15079
7,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Nickel (Ni),BS EN 15079
8,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Oxygen(O2),ASTM E2575
9,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Selenium (Se),BS EN 15079
10,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Silver (Ag),BS EN 15079
11,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Sulphur (S),BS EN 15079
12,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Tellurium (Te),BS EN 15079
13,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC),Tin (Sn),BS EN 15079
14,CHEMICAL- METALS &ALLOYS,Copper Rod (Continuous Cast Copper wire Rod-ETP & OFC)),Bismuth (Bi),BS EN 15079
19,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Annealed Copper Wire,Diameter,ASTM B3
20,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Annealed Copper Wire,Elongation (%),ASTM B3
21,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod (Continuous Cast Copper wire Rod)- ETP & OFC,Diameter ( mm ),ASTM B49
22,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod (Continuous Cast Copper wire Rod)- ETP & OFC,Elongation ( % ),ASTM E8/E8 M
23,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod (Continuous Cast Copper wire Rod)- ETP & OFC,COMPRESSION,IS 12444
24,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod (Continuous Cast Copper wire Rod)-ETP & OFC,Tensile Strength ( Mpa ),ASTM E8/E8 M
