0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Life Cycle,IS 14257 Clause No:9.3.12
2,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Capacity ve Hours,IS 14257 Clause No:9.3.4
3,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Charge Acceptance Test,IS 14257 Clause No:9.3.8
4,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Charge Retention Test,IS 14257 Clause No:9.3.10
5,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Cold crankingperformance test,IS 14257 Clause No:9.3.6
6,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Dimensions and layouts,IS 14257 Clause No:9.3.2
7,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,High rate discharge test,IS 14257 Clause No:9.3.5
8,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Over Charge Endurance,IS 14257 Clause No:9.3.13
9,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Reserve Capacity Test,IS 14257 Clause No:9.3.7
10,ELECTRICAL- CELLS &BATTERIES,Lead acid Storage Batteries for Motor Vehicleswith light weight and high cranking performance,Vibration Resistance Test,IS 14257 Clause No:9.3.15
11,ELECTRICAL- CELLS &BATTERIES,Lead Acid Traction Bateries,Capacity,IEC 60254-1 : 2005 / IS5154 (Part 1) Clause No:5.2
12,ELECTRICAL- CELLS &BATTERIES,Lead Acid Traction Batteries,Charge Retention test,IEC 60254-1 : 2005 / IS5154 (Part 1) Clause No:5.3
13,ELECTRICAL- CELLS &BATTERIES,Lead Acid Traction Batteries,Energy Density,IEC 60254-1 : 2005 / IS5154 (Part 1) Clause No :6.1
14,ELECTRICAL- CELLS &BATTERIES,Lead acid traction batteries,High rate dischargeperformance test,IEC 60254-1 : 2005 / IS5154 (Part 1) Clause No:5.4
15,ELECTRICAL- CELLS &BATTERIES,Secondary Batteries for the Propulsion of Electric Road Vehicles,Charge Eciency,IS 13514 Clause 8.7.1
16,ELECTRICAL- CELLS &BATTERIES,Secondary Batteries for the Propulsion of Electric Road Vehicles,Continuous discharge atmaximum vehicle systempower,IS 13514 Clause 8.8.1
17,ELECTRICAL- CELLS &BATTERIES,Secondary Batteries for the Propulsion of Electric Road Vehicles,Measurement of selfdischarge,IS 13514 Clause 8.7.3
18,ELECTRICAL- CELLS &BATTERIES,Secondary Batteries for the Propulsion of Electric Road Vehicles,Partial discharge test,IS 13514 Clause 8.7.2
19,ELECTRICAL- CELLS &BATTERIES,"Stationary cells and Batteries, Lead Acid Types",Test for Capacity,IS 1651 Clause No:12.5
