0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,Laminated Woven Orchard Protection Covers,Ash content,IS 17731 Annex D
2,CHEMICAL- PLASTIC &RESINS,Laminated Woven Orchard Protection Covers,Thermicity IR eectiveness,IS 17731 Annex E
3,CHEMICAL- PLASTIC &RESINS,Pies & Fittings,Overall Migration,IS 9845
4,CHEMICAL- PLASTIC &RESINS,Reinforced HDPE Geomembrane,Ash content,IS:17374 Annex-G
5,CHEMICAL- PLASTIC &RESINS,Reinforced HDPE Geomembrane,Oven Ageing,IS:7019 pt-8
6,CHEMICAL- PLASTIC &RESINS,Reinforced HDPE Geomembrane,Stress crack Resistance,IS:13346
7,CHEMICAL- PLASTIC &RESINS,Reinforced HDPE Geomembrane,treating against chemical,IS:17374 Annex -H
8,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables,Environmental stress cracking,IS 10810 part 29
9,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables,Melt Flow Rate (MFR) / Melt Flow Index (MFI) (PE Insulation),IS 10810 part 23
10,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables,Vicat Softening Temperature(PE insulation),IS 10810 part 22
11,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables,Water Absorption (Gravimetric)XLPE Insulation,IS 10810 Part 33
12,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables - Insulation,Carbon Black Content,IS 10810 part 32
13,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables - Insulation,Carbon Black Content,IS 2530
14,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables - Insulation,Carbon Black Dispersion,IS 10810 part 32
15,CHEMICAL- PLASTIC &RESINS,Aerial Bunched Cables - Insulation,Carbon Black Dispersion,IS 2530
16,CHEMICAL- PLASTIC &RESINS,Containers,Environmental Stress crackingresistance,IS 8747
17,CHEMICAL- PLASTIC &RESINS,Containers,Ink Adhesion of Printedcontainers,IS:2798
18,CHEMICAL- PLASTIC &RESINS,Containers,Product resistance of Printedcontainers,IS:2798
19,CHEMICAL- PLASTIC &RESINS,Containers,Water potability Test,IS:15410 Annex-B
20,CHEMICAL- PLASTIC &RESINS,Eye and Face Protection for Ocuupational Use,Disinfection,IS:8521 Part 1
21,CHEMICAL- PLASTIC &RESINS,Eye and Face Protection for Ocuupational Use,Flammability,IS:8521 Part 1
22,CHEMICAL- PLASTIC &RESINS,Eye and Face Protection for Ocuupational Use,Water absorption,IS:8521 Part 1
23,CHEMICAL- PLASTIC &RESINS,Face Mask,Flammability,EN149 (Cl.8.6)
24,CHEMICAL- PLASTIC &RESINS,Fencing Nets,Heat Shrinkage,Cl. 4.1.1 and IS 6192
25,CHEMICAL- PLASTIC &RESINS,Films / Sheets,Ash content,IS 2508 Annex-A
26,CHEMICAL- PLASTIC &RESINS,Films / Sheets,Carbon Black Content,IS:2530
27,CHEMICAL- PLASTIC &RESINS,Films / Sheets,Carbon Black Dispersion,IS:2530
28,CHEMICAL- PLASTIC &RESINS,Films / Sheets,Colour fastness to Articiallight,IS 2530
