0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,Agro Textiles - High Density Polyethylene (HDPE) Woven Beds for Vermiculture,Identication by Chemical Analysis,IS 15907
2,CHEMICAL- PLASTIC &RESINS,Agro Textiles - High Density Polyethylene (HDPE) Woven Beds for Vermiculture,"Resistance to chemicals,Change in Mass percent",IS 15907 Annexure-E
3,CHEMICAL- PLASTIC &RESINS,Agro Textiles - High Density Polyethylene (HDPE) Woven Beds for Vermiculture,Susceptibility to Environmental Stress Cracking,IS 15907 Annexure-D
4,CHEMICAL- PLASTIC &RESINS,Agro Textiles Laminated High Density Polyethylene(HDPE) Woven Geomembrane For Waterproof Lining,Ash content,IS 15351 Annexure-F
5,CHEMICAL- PLASTIC &RESINS,Agro Textiles-High Density Polyethylene (Hdpe) Laminated Woven Lay Flat Tube For Irrigation Purpose,Environmental stress crackingtest,IS 16190 Annexure-D
6,CHEMICAL- PLASTIC &RESINS,Chlorinated Polyvinyl Chloride (CPVC) Pipes For Potable Hot And Cold Water Distribution,Chlorine Content,IS 15778 Annexure-B
7,CHEMICAL- PLASTIC &RESINS,Chlorinated Polyvinyl Chloride (CPVC) Pipes For Potable Hot And Cold Water Distribution Supplies,K-value,IS 15225
11,CHEMICAL- PLASTIC &RESINS,Containers For Packaging Of Natural Mineral Water And Packaged Drinking Water,Environmental Stress- Crack Resistance,IS 8747
12,CHEMICAL- PLASTIC &RESINS,Geomembranes For Lining,Water extraction,IS 15909 Annexure-H
13,CHEMICAL- PLASTIC &RESINS,Geosynthetics high density polyethylene ( HDPE )geomembranes for lining,High pressure OIT,ASTM D 5885
14,CHEMICAL- PLASTIC &RESINS,Geosynthetics High Density Polyethylene ( HDPE )Geomembranes For Lining,Oxidative induction time-Standard OIT,ISO 11357 Part 6
15,CHEMICAL- PLASTIC &RESINS,Geosynthetics High Density Polyethylene ( HDPE )Geomembranes For Lining,Stress crack resistance,IS 16352 Annexure-J
16,CHEMICAL- PLASTIC &RESINS,Geosynthetics High Density Polyethylene ( HDPE)Geomembranes For Lining,"Oven ageing at 85°C,Retention of oxidativeinduction time (OIT) after 90days- Standard OIT",ASTM D 5885
17,CHEMICAL- PLASTIC &RESINS,HDPE/PP TAPE,Dimensional Stability,IS 11197
18,CHEMICAL- PLASTIC &RESINS,HDPE/PP TAPE,Heat Shrinkage,IS 6193
19,CHEMICAL- PLASTIC &RESINS,HDPE/PP TAPE,Material Identication by Chemical analysis,IS 11197
20,CHEMICAL- PLASTIC &RESINS,HDPE/PP TAPE,Material Identication by Chemical analysis,IS 6192
21,CHEMICAL- PLASTIC &RESINS,HDPE/PP TAPE,Melt Flow Index (MFI),IS 11197
22,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (HDPE)/Polypropylene (PP)Woven Sacks for Packing 50 Kg/25 Kg Sugar,Ash Content,IS 14968 Annexure-D
23,CHEMICAL- PLASTIC &RESINS,Irrigation EQU- Ipment - Polyethylene Pipes For Irrigation Laterals,Environment Stress Crack Resistance Test,IS 12786(ANNEX-D)
