0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Acetaldehyde (CH3 CHO),IS 695 (A10)
2,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Acetic acid content (CH3 COOH),IS 695 (A2.1)
3,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Chlorides (as Cl),IS 695 (A5)
4,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Colour Hazen units,IS 8768
5,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Crystallizing point,IS 695 (A3)
6,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Formic acid (HCOOH),IS 695 (A9)
7,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Heavy metals,IS 695 (A8)
8,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Iron (as Fe),IS 695 (A6)
9,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Oxidizable impurities,IS 695 (A11)
10,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Relative density,IS 82 Cl 6.3.1
11,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Residue on evaporation,IS 695 (A4)
12,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Solubility in water,IS 695 (A1)
13,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetic Acid,Sulphate,IS 695 (A7)
14,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Acidity (as CH3 COOH),IS 170 (Annex C)
15,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Alcoholic impurities,IS 170 (Annex F)
16,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Alkalinity,IS 170 (Annex D)
17,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Benzene content,IS 170 (Annex A)
18,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Distillation range,IS 170 (Annex B)
19,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Methanol content,IS 170 (Annex A)
20,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Permanganate test,IS 170 (Annex E)
21,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Purity,IS 170 (Annex A)
22,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Acetone,Residue on evaporation,IS 82 Cl 8.1
23,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Anniline,"Assay, percent by nitritevalue",IS 2833 (Annex A)
24,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Anniline,Crystallizing point,IS 5299 (Cl 8)
25,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Anniline,Nitrobenzene content,IS 2833 (Annex B)
26,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Anniline,Relative density,IS 5299 (Cl 5)
27,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Caustic Soda,Chlorates and per-chlorates (as Na Cl O3),IS 252 (A-11)
