0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,Laminated High Density Polyethylene (HDPE)Fabric for Canal Lining,Ash Content,IS 15351
2,CHEMICAL- PLASTIC &RESINS,Agro Textiles-High Density Polyethylene (HDPE)Woven Beds for Vermiculture,Environmental Stress Cracking Test,IS 15907
3,CHEMICAL- PLASTIC &RESINS,Agro Textiles-High Density Polyethylene (HDPE)Woven Beds for Vermiculture,Resistance to chameicals,IS 15907
4,CHEMICAL- PLASTIC &RESINS,Chlorinated Polyvinyl Chloride (CPVC) Pipes For Potable Hot and Cold Water Supplie,Chlorine Content,IS 15778
5,CHEMICAL- PLASTIC &RESINS,Containers for packaging of natural mineral waterand packaged drinking water,Water Potability Test,IS 15410
6,CHEMICAL- PLASTIC &RESINS,Cured reinforced resins,Loss of Ignition,ASTM D2584
10,CHEMICAL- PLASTIC &RESINS,Geosynthetics -Reinforced HDPE Membrane for Euents and Chemical Resistance Lining,Ash content,IS 17374
11,CHEMICAL- PLASTIC &RESINS,Glass Reinforced Polyester Dough Moulding Compounds (DMC),Glass Content,IS 13411
12,CHEMICAL- PLASTIC &RESINS,Glass Reinforced Polyester Dough Moulding Compounds (DMC),Heat Deection Temperature,IS 13411
13,CHEMICAL- PLASTIC &RESINS,Glass Reinforced Polyester Dough Moulding Compounds (DMC),Resistance to Chemicals,IS 13411
14,CHEMICAL- PLASTIC &RESINS,Glass Reinforced Polyester Dough Moulding Compounds (DMC),Water Absorption,IS 13411
15,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (Hdpe) Crates for Milk Satchets,Resistance to Stress,IS 11584
16,CHEMICAL- PLASTIC &RESINS,High density polyethylene (HDPE)/ polypropylene(PP) woven sacks for packaging of 50 kg cement,Ash Content,IS 11652
17,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (HDPE)/Polypropylene(PP) Woven sack for lling sand,Ash Content,IS 14252
18,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (HDPE)/Polypropylene(PP) Woven sacks for Packaging 50 kg/25 kg Sugar,Ash Content,IS 14968
19,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (HDPE)/Polypropylene(PP) Woven sacks for Packaging Fertilizers,Ash Content,IS 9755
20,CHEMICAL- PLASTIC &RESINS,"High Density Polyethylene (HDPE)/Polypropylene(PP) Woven sacks for Packaging of 10 kg, 15 kg,20 kg, 25 kg and 30 kg Foodgrains",Ash Content,IS 16208
21,CHEMICAL- PLASTIC &RESINS,High Density Polyethylene (HDPE)/Polypropylene(PP) Woven sacks for Packaging of 50 kg Food Grains,Ash Content,IS 14887
23,CHEMICAL- PLASTIC &RESINS,Irrigation Equipment -Polyethylene Pipes for Irrigation Laterals,Resistance of PE Emitting Pipe to Environmental Stress Cracking,IS 12786
24,CHEMICAL- PLASTIC &RESINS,Irrigation Equipment -Polyethylene Pipes for Irrigation Laterals,Reversion Test,IS 12786
25,CHEMICAL- PLASTIC &RESINS,"Moulding Powder, Molded Plastics (Phenolics)",Formaldehyde Content,JSS 1097
