0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Chromium,ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Copper,ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Iron,ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Magnesium,ASTM E 1251
5,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Manganese,ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Nickel,ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Silicon,ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Titanium,ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminum & Its alloys,Zinc,ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Carbon,ASTM E 415
11,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Chromium,ASTM E-415
12,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Copper,ASTM E 415
13,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Manganese,ASTM E 415
14,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Molybdenum,ASTM E 415
15,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Nickel,ASTM E 415
16,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Phosphorus,ASTM E 415
17,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Silicon,ASTM E-415
18,CHEMICAL- METALS &ALLOYS,Iron Steel & Ferro alloys,Sulphur,ASTM E 415
19,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Carbon,ASTM E 1086
20,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Chromium,ASTM E 1086
21,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Manganese,ASTM E 1086
22,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Nickel,ASTM E 1086
23,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Phosphorus,ASTM E 1086
24,CHEMICAL- METALS &ALLOYS,Stainless steel Alloy,Silicon,ASTM E 1086
25,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Ash Content,ASTM D 297
26,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Ash Content,ASTM D 6370
27,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Ash Content,IS 3400 Part 22
28,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Carbon Black Content,ASTM D 6370
29,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Carbon Black Content by TGA,ASTM E 1131
30,CHEMICAL- RUBBER &RUBBER PRODUCTS,Natural Rubber & Rubber Products,% Extract (Volatile) Content,ASTM E 1131
