0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Milk Powder,Bacterial Count,IS 5402 (Part 1)
2,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Milk Powder,Coagulase Positive Staphylococcus aureus,IS 5887 (Part 8/Sec 1)
3,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Milk Powder,Salmonella,IS 5887 (Part-3)
4,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Milk Powder,Shigella,IS 5887 (Part-7)
5,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Skimmed Milk powder,Aerobic Spore Count (Bacilluscereus),IS 5887 (Part-6)
6,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Skimmed Milk Powder,Coliform Count,IS 5401 (Part 1)
7,BIOLOGICAL- WATER,Packaged Drinking Water,Staphylococcus aureus,IS 5887 (Part-2)
8,BIOLOGICAL- WATER,Packaged Drinking Water,Pseudomonas aeruginosa,Annex D of IS 13428
9,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio parahaemolyticus,IS 5887 (Part-5/Sec 1)
10,BIOLOGICAL- WATER,Packaged Drinking Water,Aerobic Microbial Count at 20to 22 C,IS 5402 Part 1
11,BIOLOGICAL- WATER,Packaged Drinking Water,Aerobic Microbial Count at 371 C,IS 5402 Part 1
12,BIOLOGICAL- WATER,Packaged Drinking Water,Coliform,IS 15185
13,BIOLOGICAL- WATER,Packaged Drinking Water,Escherichia coli,IS 15185
14,BIOLOGICAL- WATER,Packaged Drinking Water,Faecal streptococci,IS 15186
15,BIOLOGICAL- WATER,Packaged Drinking Water,Salmonella,IS 15187
16,BIOLOGICAL- WATER,Packaged Drinking Water,Shigella,IS 5887 (Part-7)
17,BIOLOGICAL- WATER,Packaged Drinking Water,Sulphite reducing anaerobes,Annex C of IS 13428
18,BIOLOGICAL- WATER,Packaged Drinking Water,Vibrio cholerae,IS 5887 (Part-5/Sec 1)
19,BIOLOGICAL- WATER,Packaged Drinking Water,Yeast and Mould,IS 16069 (Part 1)
20,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Chloride,IS 4032
21,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Insluble Residue,IS 4032
22,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Loss on ignition,IS 4032
23,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Sulphuric Anhydride,IS 4032
24,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk and Dairy Products,Insolubility Index,IS 12759
25,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk and Dairy Products,Milk Fat,IS 11721
26,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk and Dairy Products,Moisture,IS 16072
27,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk and Dairy Products,Titratable Acidity,IS 11766
28,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk and Dairy Products,Total Ash,IS 14433
29,CHEMICAL- FOOD &AGRICULTURALPRODUCTS,Milk Powder,Milk protein in milk solids notfat,IS 7219
