0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium and its alloy,Titanium,ASTM E1251
2,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Boron,ASTM E1251
3,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Boron,BS EN 14726
4,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Cadmium,BS EN 14726
5,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Calcium,ASTM E1251
6,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Calcium,BS EN 14726
7,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Chromium,ASTM E1251
8,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Chromium,BS EN 14726
9,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Copper,ASTM E1251
10,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Copper,BS EN 14726
11,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Gallium,ASTM E1251
12,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Gallium,BS EN 14726
13,CHEMICAL- METALS &ALLOYS,Aluminium and its Alloys,Iron,ASTM E1251
14,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Iron,BS EN 14726
15,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Lead,BS EN 14726
16,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Magnesium,ASTM E1251
17,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Magnesium,BS EN 14726
18,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Manganese,ASTM E1251
19,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Manganese,BS EN 14726
20,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Nickel,BS EN 14726
21,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Silicon,ASTM E1251
22,CHEMICAL- METALS &ALLOYS,Aluminium and its Alloys,Silicon,BS EN 14726
23,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Sodium,BS EN 14726
24,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Titanium,BS EN 14726
25,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Vanadium,ASTM E1251
26,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Vanadium,BS EN 14726
27,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Zinc,ASTM E1251
28,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Zinc,BS EN 14726
29,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Zirconium,ASTM E1251
30,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Zirconium,BS EN 14726
31,CHEMICAL- SOLIDFUELS,Coal,Ash by Furnace Dry,IS 1350 (part-1)
32,CHEMICAL- SOLIDFUELS,Coal,Fixed Carbon by Dierence,IS 1350 (part-1)
33,CHEMICAL- SOLIDFUELS,Coal,Gross Caloric Value,ASTM D5865 M
34,CHEMICAL- SOLIDFUELS,Coal,Moisture by Oven Drying,IS1350 (part-1)
