0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,Polyethylene Based Cushioning Material for Packing Ammunition,p H of water extract,JSG 0112 Method 5 (B)
3,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,PLASTIC/EPE/XLPE,Durometer Hardness,ASTM D 2240
4,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolen,Compression Set,ASTM D 3575 Sux B
5,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolen,Compression Strength,ASTM D 3575 Sux D
6,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolens,Density,ASTM D 3575 Sux W
7,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolens,Length,ASTM D 3575
8,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolens,Thermal Stability,ASTM D 3575 Sux S
9,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolens,Thickness,ASTM D 3575
10,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polyolens,Water Absorption,ASTM D 3575 Sux L
11,MECHANICAL- RUBBERAND RUBBER PRODUCTS,Vulcanized Rubber and Thermoplastic Elastomers,Elongation,ASTM D 412
12,MECHANICAL- RUBBERAND RUBBER PRODUCTS,Vulcanized Rubber and Thermoplastic Elastomers,Tear Strength,ASTM D 624
13,MECHANICAL- RUBBERAND RUBBER PRODUCTS,Vulcanized Rubber and Thermoplastic Elastomers,Tensile Strength,ASTM D 412
