0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Paint,Lead content in Paint,ASTM E 1613-12 (Withdrawn) /ASTM E3203-21 / ASTM E1645-2021
2,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,Oxidation Stability Total Acidity Total Sludge,ASTM D 2440-13-2021
3,CHEMICAL- LUBRICANTS,Transformer oil,Ageing Characteristics Totalsludge,"IS 335: 2018, ASTM D1934-2020"
4,CHEMICAL- LUBRICANTS,"Inhibited & Uninhibited Mineral Insulating oil, Turbine oiland Hydraulic Oil Gear Oil",Density,IS1866:2017 IEC60422:2013 /IS1448(Part 16):2014/IS335:2018 IEC60296: 2020 /ISO 3675:1998 / ASTM D1298:12b-2017e 1
5,CHEMICAL- LUBRICANTS,"Inhibited & Uninhibited Mineral Insulating oil, Turbine oiland Hydraulic Oil Gear Oil",Kinematic viscosity,ASTM D445:2023 /ISO3104:2023 / IS335:2018 IEC60296: 2020 / IS1866:2017 IEC60422:2013 IS 1448 (part-25)RA-2018
6,CHEMICAL- LUBRICANTS,"Inhibited & Uninhibited Mineral Insulating oil, Turbine oiland Hydraulic Oil Gear Oil",Neutralisation value/Acidity,IEC 62021-2:2007 /ASTMD-974:2022 / IS335:2018 IEC 60296: 2020 / IS1866:2017 IEC60422:2013 /IS1448 (Part 2):2007 (RA 2018)/ ISO 6619: 1988 / IEC62021-1:2003/ ASTM D664:2018e 2
7,CHEMICAL- LUBRICANTS,"Inhibited & Uninhibited Mineral Insulating oil, Turbine oil,Hydraulic Oil and Gear Oil",Pour Point,"IS335:2018 IEC60296: 2020 IS1866:2017 IEC60422: 2013 /IS 1448 (Part 10-Sec.2):2021,ISO 3016:2019, ASTMD97-17b(2022)"
8,CHEMICAL- LUBRICANTS,"Inhibited & Uninhibited Mineral Insulating oil, Turbine oil,Hydraulic Oil and Gear Oil",Appearance,IS335:2018 IEC60296: 2020 /IS1866 :2017 IEC60422:2013 /ASTM D 4176
9,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,Presence of Oxidation Inhibitor Phenolic Type Oxidationinhibitor,ASTM D 2668-07
10,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,Gassing Tendency,IS335:2018 IEC60296: 2020 /IEC 60628:1985 Method A /IS12475(Part 1):1988 RA-2018 /D2300-08
11,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,2 Furfural and relatedcompounds,"IS335:2018 IEC60296: 2020 /IS1866:2017 IEC60422:2013 /IS:15668:2006 (RA2021)/ ASTMD5837:2015, IEC 61198-1993"
12,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,Ageing characteristics Total Sludge,IS : 12177-1987 Method A:RA-2018 / ASTM D1934
13,CHEMICAL- LUBRICANTS,Inhibited and Uninhibited mineral insulating oil,Ageing characteristics Total Acidity,IS 12177-1987 Method A:RA-2018 ASTM D1934
