0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Acetylene,IS 9434:2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
2,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Carbondioxide,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
3,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Carbonmonoxide,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
4,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Ethylene,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
5,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Hydrogen,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
6,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Methane,"IS:9434:1992 (RA 2013),IS:10593:2018, IEC: 60567:2011, IEC: 60599: 2015"
7,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Nitrogen,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
8,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Oxygen,IS 9434: 2019 IS 10593:2018 IEC 60567:2011 IEC 60599:2022
9,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Transformer Oil (Service &New Oil),Dissolved Gas Analysis-Ethane,"IS 9434: 2019, IS 10593:2018,IEC 60567:2011, IEC 60599:2022"
10,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Insulating Oil (In-Service &New Oil),DBDS,IS 335:2018 IS 1866:2017 IEC60296:2020 IEC 60422:2013 IS16497 (Part 1):2017 IEC62697-1: 2012
11,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Insulating Oil (In-Service &New Oil),2-Furfural and relatedcompounds 5-MF,IS 335:2018 & IEC 60296:2020 IS 1866:2017 IEC 60422:2013 IS 15668:2006 (RA 2021) IEC61198: 1993
12,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Insulating Oil (In-Service &New Oil),Total PCB Content,IS 335:2018 IEC 60296: 2020 IEC 61619:1997 IS 16082:2013
13,CHEMICAL- LUBRICANTS,Inhibited & Un-inhibited Mineral Insulating Oil (In-Service &New Oil),2-Furfural and relatedcompounds 2-FAL,IS 335:2018 & IEC 60296:2020 IS 1866:2017 IEC 60422:2013 IS 15668:2006 (RA 2021) IEC61198: 1993
