0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Accelerated Storage Stability Test,IS 8662 (Annexure F)
2,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Consistency,"IS 101 (Part 1, Section 5)"
3,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Dry Film Thickness,"IS 101 (Part 3, Section 2,Method 5)"
4,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Drying Time (Hard Dry),"IS 101 (Part 3, Section 1)"
5,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Fineness of Grind,"IS 101 (Part 3, Section 5)"
6,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Gloss Value,IS 101 Part 4 Sec 4
7,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Mass in Kg / 10 L,"IS 101 (Part 1, Section 7)"
8,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Pigment Content,"IS 101 (Part 8, Section 2)"
9,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Resistance to 5% H2 SO4,"ICF MD Spec 045, Annexure A"
10,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Resistance to 5% Na 2 CO3,"ICF MD Spec 045, Annexure B"
11,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Scratch Hardness,"IS 101 (Part 5, Section 2)"
12,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Volatile Matter,"IS 101 (Part 2, Section 2)"
13,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Volume Solids,"IS 101 (Part 8, Section 6)"
14,CHEMICAL- PAINTS &SURFACE COATING,Paints & Enamels,Wet Opacity,"IS 101 (Part 4, Section 1,Method 4)"
23,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Aluminium metals, alloys & products",% Elongation,IS 1608 (Part 1)
24,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Aluminium metals, alloys & products",Tensile Strength,IS 1608 (Part 1)
25,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Copper metals, alloys & products",% Elongation,IS 1608 (Part 1)
26,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Copper metals, alloys & products",Tensile Strength,IS 1608 (Part 1)
27,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Brinell Hardness HBW 10/3000,IS 1500 (Part 1)
28,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",% Elongation,IS 1608 (Part 1)
29,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Rockwell Hardness (HRC),IS 1586 (Part 1)
30,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Rockwell Hardness(HRBW),IS 1586 (Part 1)
31,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Tensile Strength,IS 1608 (Part 1)
32,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Vickers Hardness (HV30),IS 1501 (Part 1)
33,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Ferrous metals, alloys & products",Vickers Hardness (HV5),IS 1501 (Part 1)
34,MECHANICAL-METALLOGRAPHY TEST,Cast Iron material and products,Microstructure of Graphite,IS 7754
36,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,IRS-R-34
37,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-11/Revised on Sep 1991
38,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-111/Revised on Oct 2006
39,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-13/Revised on May 1999
40,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-162/ Revised on Mar 2014
41,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-34/Revised on May 2017
42,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-7/Revised on Sep 2007
43,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,MC-95/Revised on Mar 2006
44,NON-DESTRUCTIVE-METALS & ALLOYS,Axles & Discs (Forged Components),Ultrasonic Testing - Detectionof Internal Flaws,RDSO/M&C Test method :- 1)k-405/ Revised on May 2017
45,NON-DESTRUCTIVE-METALS & ALLOYS,Roller Bearing of Coaches,Penetrant Testing - Fluorescent Water Washable,SOP No. CMT/NDT/TP/PT/01 Issue No. 01-2018
