0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,Rapid Temperaturecycling/Thermal shock,"JSS 50101 (Rev 01, Testno. 20)"
2,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,Bump Test,JSS 50101 (Test no. 11)
3,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,Damp Heat,"JSS 50101 (Rev 01, Testno. 7)"
4,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,High Temperature,"JSS 50101 (Rev 01, Testno. 22)"
5,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,Low Temperature,"JSS 50101 (Rev 1, Testno. 21)"
6,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronics / Electro Mechanicalcomponents,Sinusoidal Vibration Test,"JSS 50101 (Rev 1, Testno. 23)"
7,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment",Ingress Protection 1 X,IEC/ISO 60529
8,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment",Ingress Protection 2 X,IEC/ISO 60529
9,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment",Ingress Protection 3 X,IEC/ISO 60529
10,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment",Ingress Protection 4 X,IEC/ISO 60529
11,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Bump Test,IS 9000 (Part 7)
12,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Bump Test,"JSS 55555 (Rev 3, Testno. 5)"
13,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Change of Temperarure,IS 9000 (Part 14)
14,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Contamination Test,JSS 55555 (Rev 3 Test no.6)
15,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Damp Heat,IEC 60068 2-78
16,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Damp Heat,IS 9000 (Part 4)
17,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Electrical/Electronics / Electro Mechanical Subassembly, units, Systems, Equipment andcomponents",Damp Heat,"JSS 55555 (Rev 3, Testno. 10)"
