0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Auminium Oxide,IS 1727
2,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Calcium Oxide,IS 1727
3,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Chloride (Cl),IS 4032
4,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Iron Oxide,IS 1727
5,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Loss on Ignition,IS 1727
6,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Magnesium Oxide,IS 1727
7,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Potassium Oxide (as K2 O),IS 9497
8,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Silica (as Si O2),IS 1727
9,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Sodium Oxide (as Na 2 O),IS 9497
10,CHEMICAL- BUILDINGMATERIAL,Calcined Clay Pozzolana (CCP),Sulphuric Anhydride(SO3),IS 1727
11,CHEMICAL- BUILDINGMATERIAL,Clinker,Alumina,IS 4032
12,CHEMICAL- BUILDINGMATERIAL,Clinker,Calcium Oxide,IS 4032
13,CHEMICAL- BUILDINGMATERIAL,Clinker,Chloride (Cl),IS 4032
14,CHEMICAL- BUILDINGMATERIAL,Clinker,Free Lime,IS 4032
15,CHEMICAL- BUILDINGMATERIAL,Clinker,Insoluble Residue,IS 4032
16,CHEMICAL- BUILDINGMATERIAL,Clinker,Iron Oxide,IS 4032
17,CHEMICAL- BUILDINGMATERIAL,Clinker,Loss on Ignition,IS 4032
18,CHEMICAL- BUILDINGMATERIAL,Clinker,Magnesium Oxide,IS 4032
19,CHEMICAL- BUILDINGMATERIAL,Clinker,Manganese Oxide(Mn 2 O3),IS 12423
20,CHEMICAL- BUILDINGMATERIAL,Clinker,Phosphorus Pentoxide(P2 O5),IS 12423
21,CHEMICAL- BUILDINGMATERIAL,Clinker,Potassium Oxide (as K2 O),IS 4032
22,CHEMICAL- BUILDINGMATERIAL,Clinker,Potassium Oxide (as K2 O),IS 9497
23,CHEMICAL- BUILDINGMATERIAL,Clinker,Silicon Dioxide,IS 4032
24,CHEMICAL- BUILDINGMATERIAL,Clinker,Sodium Oxide (as Na 2 O),IS 4032
25,CHEMICAL- BUILDINGMATERIAL,Clinker,Sodium Oxide (as Na 2 O),IS 9497
26,CHEMICAL- BUILDINGMATERIAL,Clinker,Sulde Sulphur,IS 4032
27,CHEMICAL- BUILDINGMATERIAL,Clinker,Sulphuric Anhydride,IS 4032
28,CHEMICAL- BUILDINGMATERIAL,Clinker,Titanium Dioxide (Ti O2),IS 12423
29,CHEMICAL- BUILDINGMATERIAL,Coarse Aggregate,Potassium Oxide (as K2 O),IS 9497
30,CHEMICAL- BUILDINGMATERIAL,Coarse Aggregate,Sodium Oxide (as Na 2 O),IS 9497
31,CHEMICAL- BUILDINGMATERIAL,Coarse Aggregate,Sulphates,BS 1881(Part-124)
